"org_id","org_code","org_name","org_type","parent_org_id","org_level","org_index","create_date","update_date","path_code","org_desc"
5619,"5619",内审部,"0",752,2,86,2025-06-30 09:55:30.657,2026-01-21 09:26:12.656,-1.400.752.5619,
2858,"2858",公司_HRBP,"0",400,1,2858,2025-06-30 09:55:30.657,,-1.400.2858,
5671,"5671",产业互联网公司,"0",400,1,5671,2025-06-30 09:55:30.657,,-1.400.5671,
7409,"7409",财务与资产管理中心,"0",400,1,7409,2025-06-30 09:55:30.657,,-1.400.7409,
7410,"7410",人力资源与品牌中心,"0",400,1,7410,2025-06-30 09:55:30.657,,-1.400.7410,
481,"481",财税资金部,"0",7409,2,481,2025-06-30 09:55:30.657,,-1.400.7409.481,
1599,"1599",云丰公司,"0",1598,2,1599,2025-06-30 09:55:30.657,,-1.400.1598.1599,
2155,"2155",投资发展部,"0",7409,2,2155,2025-06-30 09:55:30.657,,-1.400.7409.2155,
2513,"2513",国际商业发展部,"0",401,2,2513,2025-06-30 09:55:30.657,,-1.400.401.2513,
2617,"2617",商业发展部,"0",402,2,2617,2025-06-30 09:55:30.657,,-1.400.402.2617,
2821,"2821",国内业务运营中心_HRBP,"0",2858,2,2821,2025-06-30 09:55:30.657,,-1.400.2858.2821,
2847,"2847",云智能业务经营中心_HRBP,"0",2858,2,2847,2025-06-30 09:55:30.657,,-1.400.2858.2847,
2853,"2853",国内非自研产品,"0",402,2,2853,2025-06-30 09:55:30.657,,-1.400.402.2853,
2855,"2855",国际非自研产品,"0",401,2,2855,2025-06-30 09:55:30.657,,-1.400.401.2855,
2906,"2906",HRBP管理部,"0",7410,2,2906,2025-06-30 09:55:30.657,,-1.400.7410.2906,
3094,"3094",国际业务运营中心_HRBP,"0",2858,2,3094,2025-06-30 09:55:30.657,,-1.400.2858.3094,
3151,"3151",国际交付中台,"0",401,2,3151,2025-06-30 09:55:30.657,,-1.400.401.3151,
3179,"3179",采购管理部,"0",7409,2,3179,2025-06-30 09:55:30.657,,-1.400.7409.3179,
3363,"3363",品牌公关部,"0",7410,2,3363,2025-06-30 09:55:30.657,,-1.400.7410.3363,
3734,"3734",六朝公司,"0",1598,2,3734,2025-06-30 09:55:30.657,,-1.400.1598.3734,
3757,"3757",羚鹿公司,"0",1598,2,3757,2025-06-30 09:55:30.657,,-1.400.1598.3757,
4191,"4191",国内BP业务中心,"0",402,2,4191,2025-06-30 09:55:30.657,,-1.400.402.4191,
4267,"4267",国内产品-虚拟交付,"0",402,2,4267,2025-06-30 09:55:30.657,,-1.400.402.4267,
4884,"4884",合规办公室,"0",752,2,4884,2025-06-30 09:55:30.657,,-1.400.752.4884,
4947,"4947",云基础产品部,"0",706,2,4947,2025-06-30 09:55:30.657,,-1.400.706.4947,
4948,"4948",烟草事业部,"0",706,2,4948,2025-06-30 09:55:30.657,,-1.400.706.4948,
5672,"5672",产业互联网公司_HRBP,"0",2858,2,5672,2025-06-30 09:55:30.657,,-1.400.2858.5672,
5997,"5997",国际产品经营中心,"0",401,2,5997,2025-06-30 09:55:30.657,,-1.400.401.5997,
5998,"5998",国际客户经营中心,"0",401,2,5998,2025-06-30 09:55:30.657,,-1.400.401.5998,
6235,"6235",综合运营支撑部,"0",7410,2,6235,2025-06-30 09:55:30.657,,-1.400.7410.6235,
6244,"6244",交通云产品部,"0",706,2,6244,2025-06-30 09:55:30.657,,-1.400.706.6244,
7730,"7730",AI优先办,"0",706,2,7730,2025-06-30 09:55:30.657,2026-02-13 09:12:55.344,-1.400.706.7730,
7075,"7075",产品事业部,"0",402,2,7075,2025-06-30 09:55:30.657,,-1.400.402.7075,
3171,"3171",云智能运营管理团队,"0",706,2,211,2025-06-30 09:55:30.657,2026-02-13 01:12:54.981,-1.400.706.3171,
7411,"7411",财务与资产管理中心_HRBP,"0",2858,2,7411,2025-06-30 09:55:30.657,,-1.400.2858.7411,
7412,"7412",人力资源与品牌中心_HRBP,"0",2858,2,7412,2025-06-30 09:55:30.657,,-1.400.2858.7412,
7469,"7469",云业务交付部,"0",706,2,7469,2025-06-30 09:55:30.657,,-1.400.706.7469,
7470,"7470",政企业务产品部,"0",706,2,7470,2025-06-30 09:55:30.657,,-1.400.706.7470,
7555,"7555",阿里云服务支撑部,"0",706,2,7555,2025-06-30 09:55:30.657,,-1.400.706.7555,
7556,"7556",智能应用产品部,"0",706,2,7556,2025-06-30 09:55:30.657,,-1.400.706.7556,
1082,"1082",产品商务团队,"0",3150,3,1082,2025-06-30 09:55:30.657,,-1.400.401.3150.1082,
7468,"7468",云业务营销部,"0",706,2,7468,2025-06-30 09:55:30.657,2026-02-13 09:13:15.444,-1.400.706.7468,
2751,"2751",共享平台中心_HRBP,"0",2858,2,2751,2025-06-30 09:55:30.657,2026-01-30 15:54:56.378,-1.400.2858.2751,
4868,"4868",金融事业部,"0",706,2,200,2025-06-30 09:55:30.657,2025-07-25 18:04:18.769,-1.400.706.4868,
1656,"1656",合资公司-综合,"0",1598,2,41,2025-06-30 09:55:30.657,2025-08-14 11:45:20.411,-1.400.1598.1656,
3624,"3624",浩鲸智能,"0",706,2,210,2025-06-30 09:55:30.657,2025-07-28 15:30:47.226,-1.400.706.3624,
2445,"2445",人力资源部,"0",7410,2,81,2025-06-30 09:55:30.657,2025-10-31 14:08:55.991,-1.400.7410.2445,
2852,"2852",总经理办公室_HRBP,"0",2858,2,2852,2025-06-30 09:55:30.657,2026-01-30 18:04:36.653,-1.400.2858.2852,
3150,"3150",国际商务部,"0",401,2,117,2025-06-30 09:55:30.657,2025-10-13 17:27:24.368,-1.400.401.3150,
7731,"7731",<待撤销>出海事业部,"0",706,2,7731,2025-06-30 09:55:30.657,2026-02-12 16:57:53.767,-1.400.706.7731,
2285,"2285",国内运营管理团队,"0",402,2,71,2025-06-30 09:55:30.657,2026-02-13 01:12:54.999,-1.400.402.2285,
7311,"7311",电力事业部,"0",706,2,7311,2025-06-30 09:55:30.657,2026-02-26 11:49:33.242,-1.400.706.7311,
2254,"2254",国际运营管理团队,"0",401,2,125,2025-06-30 09:55:30.657,2026-02-13 01:12:55.180,-1.400.401.2254,
4712,"4712",国际金融科技事业部,"0",401,2,115,2025-06-30 09:55:30.657,2026-01-10 01:13:40.088,-1.400.401.4712,
401,"401",国际业务运营中心,"0",400,1,3,2025-06-30 09:55:30.657,2026-01-21 09:16:12.574,-1.400.401,
400,"400",浩鲸科技(一级经营委员会),"0",-1,0,400,2025-06-30 09:55:30.657,2026-01-30 17:49:36.627,-1.400,
5489,"5489",财经管理部,"0",7409,2,89,2025-06-30 09:55:30.657,2026-02-02 09:11:44.082,-1.400.7409.5489,
7310,"7310",大模型创新部,"0",2737,2,7310,2025-06-30 09:55:30.657,2026-01-30 16:59:36.507,-1.400.2737.7310,
4854,"4854",数字化运营部,"0",752,2,88,2025-06-30 09:55:30.657,2026-01-31 01:14:57.520,-1.400.752.4854,
2744,"2744",数据智能产品线,"0",2737,2,34,2025-06-30 09:55:30.657,2026-01-31 01:14:57.737,-1.400.2737.2744,
1600,"1600",综合科,"0",1599,3,1600,2025-06-30 09:55:30.657,,-1.400.1598.1599.1600,
2583,"2583",国际商业发展部_HRBP,"0",3094,3,2583,2025-06-30 09:55:30.657,,-1.400.2858.3094.2583,
2636,"2636",人力资源部_HRBP,"0",7412,3,2636,2025-06-30 09:55:30.657,,-1.400.2858.7412.2636,
2638,"2638",投资发展部_HRBP,"0",7411,3,2638,2025-06-30 09:55:30.657,,-1.400.2858.7411.2638,
2639,"2639",财税资金部_HRBP,"0",7411,3,2639,2025-06-30 09:55:30.657,,-1.400.2858.7411.2639,
2651,"2651",云智能中心办公室_HRBP,"0",2847,3,2651,2025-06-30 09:55:30.657,,-1.400.2858.2847.2651,
2683,"2683",商业发展部_HRBP,"0",2821,3,2683,2025-06-30 09:55:30.657,,-1.400.2858.2821.2683,
2854,"2854",国内非自研产品-PU,"0",2853,3,2854,2025-06-30 09:55:30.657,,-1.400.402.2853.2854,
2856,"2856",国际非自研产品-PU,"0",2855,3,2856,2025-06-30 09:55:30.657,,-1.400.401.2855.2856,
2869,"2869",数据平台研发部,"0",2744,3,2869,2025-06-30 09:55:30.657,,-1.400.2737.2744.2869,
2909,"2909",HRBP_国内业务运营中心,"0",2906,3,2909,2025-06-30 09:55:30.657,,-1.400.7410.2906.2909,
2911,"2911",HRBP_国际业务运营中心,"0",2906,3,2911,2025-06-30 09:55:30.657,,-1.400.7410.2906.2911,
2913,"2913",HRBP_云智能业务经营中心,"0",2906,3,2913,2025-06-30 09:55:30.657,,-1.400.7410.2906.2913,
3095,"3095",国际中心办公室_HRBP,"0",3094,3,3095,2025-06-30 09:55:30.657,,-1.400.2858.3094.3095,
3154,"3154",国际商务部_HRBP,"0",3094,3,3154,2025-06-30 09:55:30.657,,-1.400.2858.3094.3154,
3155,"3155",国际交付中台_HRBP,"0",3094,3,3155,2025-06-30 09:55:30.657,,-1.400.2858.3094.3155,
3183,"3183",采购管理部_HRBP,"0",7411,3,3183,2025-06-30 09:55:30.657,,-1.400.2858.7411.3183,
3364,"3364",品牌公关部_HRBP,"0",7412,3,3364,2025-06-30 09:55:30.657,,-1.400.2858.7412.3364,
3458,"3458",业务咨询团队,"0",2513,3,3458,2025-06-30 09:55:30.657,,-1.400.401.2513.3458,
3735,"3735",六朝交付,"0",3734,3,3735,2025-06-30 09:55:30.657,,-1.400.1598.3734.3735,
3758,"3758",羚鹿交付,"0",3757,3,3758,2025-06-30 09:55:30.657,,-1.400.1598.3757.3758,
3848,"3848",国际OSS产品线,"0",5997,3,3848,2025-06-30 09:55:30.657,,-1.400.401.5997.3848,
3874,"3874",国际数字渠道产品线,"0",5997,3,3874,2025-06-30 09:55:30.657,,-1.400.401.5997.3874,
3878,"3878",国际质量效能部,"0",5997,3,3878,2025-06-30 09:55:30.657,,-1.400.401.5997.3878,
3890,"3890",GTSC,"0",3151,3,3890,2025-06-30 09:55:30.657,,-1.400.401.3151.3890,
3904,"3904",市场方案第一团队,"0",2513,3,3904,2025-06-30 09:55:30.657,,-1.400.401.2513.3904,
3905,"3905",市场方案第二团队,"0",2513,3,3905,2025-06-30 09:55:30.657,,-1.400.401.2513.3905,
3906,"3906",市场方案第三团队,"0",2513,3,3906,2025-06-30 09:55:30.657,,-1.400.401.2513.3906,
3907,"3907",市场方案第四团队,"0",2513,3,3907,2025-06-30 09:55:30.657,,-1.400.401.2513.3907,
3908,"3908",BSS行销团队,"0",2513,3,3908,2025-06-30 09:55:30.657,,-1.400.401.2513.3908,
3909,"3909",OSS行销团队,"0",2513,3,3909,2025-06-30 09:55:30.657,,-1.400.401.2513.3909,
3910,"3910",数据咨询团队,"0",2513,3,3910,2025-06-30 09:55:30.657,,-1.400.401.2513.3910,
7908,"7908",黑龙江存量项目经营单元,"1",7785,5,0,2026-02-09 10:41:44.529,2026-02-10 01:10:45.898,-1.400.402.7747.7751.7785.7908,
4874,"4874",<待撤销>经营管理团队,"0",3171,3,4874,2025-06-30 09:55:30.657,2026-02-13 01:13:07.069,-1.400.706.3171.4874,
4717,"4717",线上运营和事件营销团队,"0",2513,3,4717,2025-06-30 09:55:30.657,,-1.400.401.2513.4717,
4773,"4773",工程技术部,"0",3151,3,4773,2025-06-30 09:55:30.657,,-1.400.401.3151.4773,
3584,"3584",综合商务团队,"0",3150,3,3584,2025-06-30 09:55:30.657,2025-10-13 17:27:24.362,-1.400.401.3150.3584,
4871,"4871",金融事业部_HRBP,"0",2847,3,4871,2025-06-30 09:55:30.657,2026-01-30 17:09:36.661,-1.400.2858.2847.4871,
3888,"3888",GPMO,"0",3151,3,3888,2025-06-30 09:55:30.657,2025-07-29 15:46:30.191,-1.400.401.3151.3888,
4875,"4875",综合支撑组,"0",3171,3,4875,2025-06-30 09:55:30.657,2026-02-13 01:12:54.458,-1.400.706.3171.4875,
3821,"3821",国内OSS产品线,"0",7075,3,100,2025-06-30 09:55:30.657,2025-07-31 18:42:56.381,-1.400.402.7075.3821,
3792,"3792",国内BSS产品线,"0",7075,3,77,2025-06-30 09:55:30.657,2026-02-05 13:58:13.856,-1.400.402.7075.3792,
3181,"3181",资产管理团队,"0",481,3,3181,2025-06-30 09:55:30.657,2026-01-29 11:39:13.299,-1.400.7409.481.3181,
