opp_code,opp_name,contract_amount,customer_customer_name,opp_status
华为-数据工厂-项目,华为-数据工厂-项目,7500000.00,华为技术有限公司,签约成功
国家电网-数据工厂-项目,国家电网-数据工厂-项目,6800000.00,国家电网有限公司,签约成功
华能集团-数据工厂-项目,华能集团-数据工厂-项目,5200000.00,中国华能集团有限公司,签约成功
腾讯-数据工厂-项目,腾讯-数据工厂-项目,4800000.00,深圳市腾讯计算机系统有限公司,签约成功
上交所-数据工厂-项目,上交所-数据工厂-项目,4500000.00,上海证券交易所,签约成功
工行北京-数据工厂-项目,工行北京-数据工厂-项目,4500000.00,中国工商银行股份有限公司北京分行,签约成功
网易-数据工厂-项目,网易-数据工厂-项目,3800000.00,网易（杭州）网络有限公司,签约成功
阿里巴巴-数据工厂-项目,阿里巴巴-数据工厂-项目,3800000.00,阿里巴巴（中国）有限公司,签约成功
太平洋保险-数据工厂-项目,太平洋保险-数据工厂-项目,3300000.00,中国太平洋保险（集团）股份有限公司,签约成功
上交所-BI-项目,上交所-BI-项目,2850000.00,上海证券交易所,签约成功
中国电建-数据工厂-项目,中国电建-数据工厂-项目,2800000.00,中国电力建设股份有限公司,签约成功
招行上海-BI-项目,招行上海-BI-项目,2800000.00,招商银行股份有限公司上海分行,签约成功
广州数据-数据工厂-项目,广州数据-数据工厂-项目,2800000.00,广州市数据局,签约成功
腾讯-MASS-项目,腾讯-MASS-项目,2600000.00,深圳市腾讯计算机系统有限公司,签约成功
中移动广东-MASS-项目,中移动广东-MASS-项目,2400000.00,中国移动通信集团广东有限公司,签约成功
中行广东-BI-项目,中行广东-BI-项目,2400000.00,中国银行股份有限公司广东省分行,签约成功
深交所-BI-项目,深交所-BI-项目,2400000.00,深圳证券交易所,签约成功
工行北京-BI-项目,工行北京-BI-项目,2300000.00,中国工商银行股份有限公司北京分行,签约成功
农行山东-BI-项目,农行山东-BI-项目,2100000.00,中国农业银行山东省分行,签约成功
阿里巴巴-MASS-项目,阿里巴巴-MASS-项目,2100000.00,阿里巴巴（中国）有限公司,签约成功
中国电信上海-MASS-项目,中国电信上海-MASS-项目,1900000.00,中国电信股份有限公司上海分公司,签约成功
平安银行-BI-项目,平安银行-BI-项目,1900000.00,深圳市平安银行股份有限公司,签约成功
