opp_name,project_project_name,project_project_status
国投中债-BI-项目,国投中债-BI-实施项目,完成回款
工行北京-BI-项目,工行北京-BI-续签项目,安装部署
工行北京-BI-项目,工行北京-BI-实施项目,完成回款
海淀政府-CRM-项目,海淀政府-CRM-实施项目,完成回款
招行上海-BI-项目,招行上海-BI-实施项目,完成回款
浦发银行-BI-项目,浦发银行-BI-实施项目,完成回款
天河卫健-CRM-项目,天河卫健-CRM-实施项目,完成回款
粤省人民医院-BI-项目,粤省人民医院-BI-实施项目,收入确认
平安银行-BI-项目,平安银行-BI-实施项目,完成回款
成都高新-CRM-项目,成都高新-CRM-实施项目,收入确认
川省教育厅-BI-项目,川省教育厅-BI-实施项目,项目上线
武汉商行-BI-项目,武汉商行-BI-实施项目,完成回款
鄂省卫健-CRM-项目,鄂省卫健-CRM-实施项目,收入确认
南京银行-BI-项目,南京银行-BI-实施项目,完成回款
苏省数据-CRM-项目,苏省数据-CRM-实施项目,收入确认
浙大-BI-项目,浙大-BI-实施项目,完成回款
阿里巴巴-数据工厂-项目,阿里巴巴-数据工厂-实施项目,收入确认
宁波银行-BI-项目,宁波银行-BI-实施项目,完成回款
腾讯-数据工厂-项目,腾讯-数据工厂-实施项目,收入确认
越秀教育-CRM-项目,越秀教育-CRM-实施项目,收入确认
华为-数据工厂-项目,华为-数据工厂-实施项目,收入确认
建行天津-BI-项目,建行天津-BI-实施项目,收入确认
天津滨海-BI-项目,天津滨海-BI-实施项目,收入确认
农行山东-BI-项目,农行山东-BI-实施项目,收入确认
郑州银行-BI-项目,郑州银行-BI-实施项目,项目上线
豫省卫健-CRM-项目,河南卫健-CRM-实施项目,项目启动
重庆农商-BI-项目,重庆农商-BI-实施项目,收入确认
贵州大数据-CRM-项目,贵州大数据-CRM-实施项目,项目上线
云南数字-CRM-项目,云南数字-CRM-实施项目,项目交付
厦门国际银行-BI-项目,厦门国际银行-BI-实施项目,收入确认
苏州工业园-BI-项目,苏州工业园-BI-实施项目,收入确认
无锡大数据-CRM-项目,无锡大数据-CRM-实施项目,项目上线
上海大数据-CRM-项目,沪大数据-CRM-实施项目,完成回款
中国电信上海-MASS-项目,中国电信沪分-MASS-实施项目,收入确认
北京银行-BI-项目,北京银行-BI-实施项目,收入确认
中移动广东-MASS-项目,移动广东-MASS-实施项目,完成回款
广州农商-BI-项目,广州农商银行-BI-实施项目,完成回款
湖南大数据-CRM-项目,湖南大数据-CRM-实施项目,项目启动
长沙银行-BI-项目,长沙银行-BI-实施项目,收入确认
徽商银行-BI-项目,徽商银行-BI-实施项目,收入确认
广西人民医院-BI-项目,广西人民医院-BI-实施项目,安装部署
兰州银行-BI-项目,兰州银行-BI-实施项目,项目交付
内蒙古大数据-CRM-项目,内蒙古大数据-CRM-实施项目,安装部署
哈尔滨银行-BI-项目,哈尔滨银行-BI-实施项目,项目交付
吉林银行-BI-项目,吉林银行-BI-实施项目,项目启动
盛京银行-BI-项目,盛京银行-BI-实施项目,收入确认
中行广东-BI-项目,中行广东-BI-实施项目,项目交付
福州银行-BI-项目,福州银行-BI-实施项目,完成回款
贵阳银行-BI-项目,贵阳银行-BI-实施项目,项目交付
太平洋保险-数据工厂-项目,太平洋保险-数据工厂-实施项目,项目上线
国泰君安-BI-项目,国泰君安-BI-实施项目,收入确认
深交所-BI-项目,深交所-BI-实施项目,项目上线
工行北京-CRM-项目,工行北京-CRM-实施项目,收入确认
招行上海-MASS-项目,招商银行沪-MASS-实施项目,项目交付
招行上海-MASS-项目,招行上海-MASS-实施项目,收入确认
平安银行-CRM-项目,平安银行-CRM-实施项目,项目上线
