project_code,project_name,合同金额合计,欠款金额合计
广州农商银行-BI-实施项目,广州农商银行-BI-实施项目,1350000.00,102600.00
太平洋保险-数据工厂-实施项目,太平洋保险-数据工厂-实施项目,3200000.00,
中行广东-BI-实施项目,中行广东-BI-实施项目,2300000.00,
深圳数字政府-BI-实施项目,深圳数字政府-BI-实施项目,1100000.00,
内蒙古大数据-CRM-实施项目,内蒙古大数据-CRM-实施项目,480000.00,
招行上海-BI-实施项目,招行上海-BI-实施项目,2800000.00,0.00
浦发银行-BI-实施项目,浦发银行-BI-实施项目,1400000.00,0.00
南京银行-CRM-实施项目,南京银行-CRM-实施项目,780000.00,301392.00
青岛银行-BI-实施项目,青岛银行-BI-实施项目,1280000.00,
浙大-BI-实施项目,浙大-BI-实施项目,680000.00,0.00
工行北京-BI-续签项目,工行北京-BI-续签项目,2200000.00,
广东人民医院-CRM-实施项目,广东人民医院-CRM-实施项目,580000.00,
山西银行-CRM-实施项目,山西银行-CRM-实施项目,380000.00,
鄂省卫健-CRM-实施项目,鄂省卫健-CRM-实施项目,680000.00,260000.00
南宁大数据-BI-实施项目,南宁大数据-BI-实施项目,760000.00,
长沙银行-CRM-实施项目,长沙银行-CRM-实施项目,420000.00,
广西人民医院-BI-实施项目,广西人民医院-BI-实施项目,890000.00,
华为-MASS-实施项目,华为-MASS-实施项目,1800000.00,
成都大数据-BI-实施项目,成都大数据-BI-实施项目,720000.00,
辽省人民医院-CRM-实施项目,辽省人民医院-CRM-实施项目,480000.00,
