customer_customer_name,customer_industry,customer_city,customer_province
北京国投中债资产管理有限公司,金融,北京,北京
中国工商银行股份有限公司北京分行,金融,北京,北京
北京市海淀区人民政府,政府,北京,北京
招商银行股份有限公司上海分行,金融,上海,上海
上海浦东发展银行股份有限公司,金融,上海,上海
广州市天河区卫生健康局,政府,广州,广东
广东省人民医院,医疗健康,广州,广东
深圳市平安银行股份有限公司,金融,深圳,广东
成都高新技术产业开发区管委会,政府,成都,四川
四川省教育厅,政府,成都,四川
武汉市商业银行股份有限公司,金融,武汉,湖北
湖北省卫生健康委员会,政府,武汉,湖北
南京银行股份有限公司,金融,南京,江苏
江苏省大数据管理中心,政府,南京,江苏
浙江大学,教育,杭州,浙江
阿里巴巴（中国）有限公司,制造,杭州,浙江
宁波银行股份有限公司,金融,宁波,浙江
深圳市腾讯计算机系统有限公司,制造,深圳,广东
广州市越秀区教育局,政府,广州,广东
华为技术有限公司,制造,深圳,广东
