project_code,project_project_name,total_tasks,completed_tasks
广州农商银行-BI-实施项目,广州农商银行-BI-实施项目,3,3
上交大-CRM-实施项目,上交大-CRM-实施项目,2,2
重庆农商-BI-实施项目,重庆农商-BI-实施项目,1,1
国投中债-BI-实施项目,国投中债-BI-实施项目,6,6
中行广东-BI-实施项目,中行广东-BI-实施项目,1,1
南京银行-CRM-实施项目,南京银行-CRM-实施项目,1,1
厦门国际银行-BI-实施项目,厦门国际银行-BI-实施项目,1,1
浙大-BI-实施项目,浙大-BI-实施项目,3,3
北京银行-BI-实施项目,北京银行-BI-实施项目,2,2
鄂省人民医院-BI-实施项目,鄂省人民医院-BI-实施项目,1,1
北京协和-BI-实施项目,北京协和-BI-实施项目,1,1
阿里巴巴-MASS-实施项目,阿里巴巴-MASS-实施项目,1,1
浙省人民医院-BI-实施项目,浙省人民医院-BI-实施项目,1,1
南京银行-BI-实施项目,南京银行-BI-实施项目,2,2
粤省人民医院-BI-实施项目,粤省人民医院-BI-实施项目,2,2
中国电信沪分-MASS-实施项目,中国电信沪分-MASS-实施项目,2,2
武汉商行-CRM-实施项目,武汉商行-CRM-实施项目,1,1
川省人民医院-BI-实施项目,川省人民医院-BI-实施项目,1,1
浦发银行-数据工厂-实施项目,浦发银行-数据工厂-实施项目,2,2
武汉商行-BI-实施项目,武汉商行-BI-实施项目,3,3
苏省数据-CRM-实施项目,苏省数据-CRM-实施项目,2,2
沪大数据-CRM-实施项目,沪大数据-CRM-实施项目,2,2
华能集团-数据工厂-实施项目,华能集团-数据工厂-实施项目,1,1
腾讯-数据工厂-实施项目,腾讯-数据工厂-实施项目,1,1
成都高新-CRM-实施项目,成都高新-CRM-实施项目,2,2
工行北京-CRM-实施项目,工行北京-CRM-实施项目,2,2
网易-数据工厂-实施项目,网易-数据工厂-实施项目,1,1
阿里巴巴-数据工厂-实施项目,阿里巴巴-数据工厂-实施项目,2,2
平安银行-CRM-实施项目,平安银行-CRM-实施项目,2,2
平安银行-BI-实施项目,平安银行-BI-实施项目,5,5
农行山东-BI-实施项目,农行山东-BI-实施项目,2,2
移动广东-MASS-实施项目,移动广东-MASS-实施项目,2,2
长沙银行-BI-实施项目,长沙银行-BI-实施项目,2,2
建行天津-BI-实施项目,建行天津-BI-实施项目,1,1
海淀政府-CRM-实施项目,海淀政府-CRM-实施项目,4,4
招行上海-MASS-实施项目,招行上海-MASS-实施项目,2,2
北京大数据-BI-实施项目,北京大数据-BI-实施项目,1,1
福州银行-BI-实施项目,福州银行-BI-实施项目,4,4
