project_name,project_code,project_task_id,project_task_task_status
国投中债-BI-实施项目,国投中债-BI-实施项目,3,正常结束
国投中债-BI-实施项目,国投中债-BI-实施项目,2,正常结束
国投中债-BI-实施项目,国投中债-BI-实施项目,1,正常结束
工行北京-BI-实施项目,工行北京-BI-实施项目,5,正常结束
工行北京-BI-实施项目,工行北京-BI-实施项目,4,正常结束
工行北京-CRM-实施项目,工行北京-CRM-实施项目,7,正常结束
工行北京-CRM-实施项目,工行北京-CRM-实施项目,6,正常结束
海淀政府-CRM-实施项目,海淀政府-CRM-实施项目,9,正常结束
海淀政府-CRM-实施项目,海淀政府-CRM-实施项目,8,正常结束
招行上海-BI-实施项目,招行上海-BI-实施项目,10,正常结束
招行上海-MASS-实施项目,招行上海-MASS-实施项目,12,正常结束
招行上海-MASS-实施项目,招行上海-MASS-实施项目,11,正常结束
浦发银行-BI-实施项目,浦发银行-BI-实施项目,13,正常结束
浦发银行-数据工厂-实施项目,浦发银行-数据工厂-实施项目,14,正常结束
天河卫健-CRM-实施项目,天河卫健-CRM-实施项目,15,正常结束
粤省人民医院-BI-实施项目,粤省人民医院-BI-实施项目,17,正常结束
粤省人民医院-BI-实施项目,粤省人民医院-BI-实施项目,16,正常结束
平安银行-BI-实施项目,平安银行-BI-实施项目,19,正常结束
平安银行-BI-实施项目,平安银行-BI-实施项目,18,正常结束
平安银行-CRM-实施项目,平安银行-CRM-实施项目,20,处理中
成都高新-CRM-实施项目,成都高新-CRM-实施项目,22,处理中
成都高新-CRM-实施项目,成都高新-CRM-实施项目,21,处理中
川省教育厅-BI-实施项目,川省教育厅-BI-实施项目,,
武汉商行-BI-实施项目,武汉商行-BI-实施项目,24,正常结束
武汉商行-BI-实施项目,武汉商行-BI-实施项目,23,正常结束
武汉商行-CRM-实施项目,武汉商行-CRM-实施项目,,
鄂省卫健-CRM-实施项目,鄂省卫健-CRM-实施项目,,
南京银行-BI-实施项目,南京银行-BI-实施项目,26,正常结束
南京银行-BI-实施项目,南京银行-BI-实施项目,25,正常结束
南京银行-MASS-实施项目,南京银行-MASS-实施项目,,
苏省数据-CRM-实施项目,苏省数据-CRM-实施项目,28,处理中
苏省数据-CRM-实施项目,苏省数据-CRM-实施项目,27,处理中
苏省数据-数据工厂-实施项目,苏省数据-数据工厂-实施项目,,
浙大-BI-实施项目,浙大-BI-实施项目,30,正常结束
浙大-BI-实施项目,浙大-BI-实施项目,29,正常结束
阿里巴巴-数据工厂-实施项目,阿里巴巴-数据工厂-实施项目,32,处理中
阿里巴巴-数据工厂-实施项目,阿里巴巴-数据工厂-实施项目,31,处理中
阿里巴巴-CRM-实施项目,阿里巴巴-CRM-实施项目,,
宁波银行-BI-实施项目,宁波银行-BI-实施项目,34,正常结束
宁波银行-BI-实施项目,宁波银行-BI-实施项目,33,正常结束
腾讯-数据工厂-实施项目,腾讯-数据工厂-实施项目,35,处理中
腾讯-CRM-实施项目,腾讯-CRM-实施项目,,
越秀教育-CRM-实施项目,越秀教育-CRM-实施项目,,
华为-数据工厂-实施项目,华为-数据工厂-实施项目,,
华为-CRM-实施项目,华为-CRM-实施项目,,
建行天津-BI-实施项目,建行天津-BI-实施项目,37,处理中
建行天津-BI-实施项目,建行天津-BI-实施项目,36,处理中
天津滨海-BI-实施项目,天津滨海-BI-实施项目,,
