industry,opp_status
金融,签约成功
金融,方案交流
金融,线索获取
金融,签约成功
金融,商务报价
金融,签约失败
政府,签约成功
政府,方案交流
政府,线索获取
金融,签约成功
金融,商务报价
金融,签约失败
金融,签约成功
金融,方案交流
金融,线索获取
政府,签约成功
政府,商务报价
政府,线索获取
医疗健康,签约成功
医疗健康,方案交流
医疗健康,签约失败
金融,签约成功
金融,商务报价
金融,线索获取
政府,签约成功
政府,方案交流
政府,线索获取
政府,签约成功
政府,商务报价
政府,签约失败
金融,签约成功
金融,方案交流
金融,线索获取
政府,签约成功
政府,商务报价
政府,签约失败
金融,签约成功
金融,方案交流
金融,线索获取
政府,签约成功
政府,商务报价
政府,线索获取
教育,签约成功
教育,方案交流
教育,签约失败
制造,签约成功
制造,商务报价
制造,线索获取
金融,签约成功
金融,方案交流
制造,签约成功
制造,商务报价
制造,方案交流
政府,签约成功
政府,线索获取
政府,签约失败
制造,签约成功
制造,商务报价
制造,线索获取
金融,签约成功
金融,方案交流
金融,签约失败
政府,签约成功
政府,商务报价
政府,线索获取
金融,签约成功
金融,方案交流
医疗健康,签约成功
医疗健康,线索获取
金融,签约成功
金融,商务报价
政府,签约成功
政府,签约失败
金融,签约成功
金融,方案交流
政府,签约成功
政府,线索获取
政府,签约成功
金融,签约成功
金融,方案交流
医疗健康,签约成功
政府,签约成功
政府,签约成功
政府,商务报价
医疗健康,签约成功
教育,签约成功
政府,签约成功
制造,签约成功
金融,签约成功
政府,签约成功
医疗健康,商务报价
制造,签约成功
制造,签约成功
金融,签约成功
金融,方案交流
政府,商务报价
金融,签约成功
政府,方案交流
医疗健康,线索获取
政府,签约成功
金融,签约成功
金融,商务报价
政府,方案交流
政府,签约成功
医疗健康,商务报价
金融,签约成功
政府,线索获取
金融,签约成功
政府,商务报价
医疗健康,签约成功
金融,方案交流
金融,签约成功
政府,线索获取
金融,商务报价
政府,签约成功
金融,方案交流
金融,签约成功
政府,商务报价
金融,签约成功
政府,线索获取
医疗健康,商务报价
金融,签约成功
教育,方案交流
医疗健康,签约成功
制造,商务报价
政府,线索获取
金融,方案交流
金融,签约成功
政府,商务报价
政府,线索获取
教育,签约成功
金融,签约成功
政府,方案交流
教育,商务报价
金融,签约成功
医疗健康,线索获取
政府,商务报价
金融,签约成功
金融,签约成功
制造,商务报价
制造,方案交流
金融,签约成功
金融,签约成功
金融,线索获取
教育,商务报价
教育,线索获取
医疗健康,签约成功
政府,方案交流
医疗健康,线索获取
政府,商务报价
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
制造,签约成功
制造,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
制造,签约成功
金融,签约成功
政府,签约成功
政府,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
政府,签约成功
金融,签约成功
政府,签约成功
医疗健康,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
医疗健康,签约成功
医疗健康,签约成功
医疗健康,签约成功
医疗健康,签约成功
医疗健康,签约成功
医疗健康,签约成功
医疗健康,签约成功
医疗健康,签约成功
教育,签约成功
教育,签约成功
教育,签约成功
教育,签约成功
教育,签约成功
教育,签约成功
制造,签约成功
制造,签约成功
制造,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
制造,签约成功
制造,签约成功
制造,签约成功
制造,签约成功
金融,签约成功
金融,签约成功
医疗健康,签约成功
制造,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
金融,签约成功
政府,签约成功
医疗健康,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
政府,签约成功
医疗健康,签约成功
政府,签约成功
政府,签约成功
医疗健康,签约成功
政府,签约成功
政府,签约成功
医疗健康,签约成功
