project_name,project_task_task_status,task_count
广州农商银行-BI-实施项目,正常结束,2
云南人民医院-CRM-实施项目,,0
长沙银行-CRM-实施项目,,0
河南卫健-CRM-实施项目,,0
中山大学-CRM-实施项目,,0
广州卫健-MASS-实施项目,,0
山西银行-CRM-实施项目,,0
北京大数据-BI-实施项目,处理中,1
济南大数据-CRM-实施项目,,0
腾讯-CRM-实施项目,,0
华为-MASS-实施项目,,0
中行广东-BI-实施项目,,0
内蒙古银行-CRM-实施项目,,0
腾讯-数据工厂-实施项目,处理中,1
建行天津-BI-实施项目,处理中,2
阿里巴巴-CRM-实施项目,,0
昆明大数据-BI-实施项目,,0
北京银行-MASS-实施项目,,0
无锡大数据-CRM-实施项目,,0
招行上海-BI-实施项目,正常结束,1
招行上海-MASS-实施项目,正常结束,2
广东人民医院-CRM-实施项目,,0
南昌政务-CRM-实施项目,,0
工行北京-BI-实施项目,正常结束,2
平安银行-BI-实施项目,正常结束,2
南京银行-MASS-实施项目,,0
陕西数字政府-CRM-实施项目,,0
国家电网-数据工厂-实施项目,,0
渝市大数据-CRM-实施项目,,0
浦发银行-数据工厂-实施项目,正常结束,1
重庆农商-BI-实施项目,处理中,1
招商银行沪-MASS-实施项目,,0
黑龙江政务-CRM-实施项目,,0
浦发银行-BI-实施项目,正常结束,1
太平洋保险-CRM-实施项目,,0
武汉商行-MASS-实施项目,,0
国投中债-BI-实施项目,正常结束,3
川省教育厅-BI-实施项目,,0
合肥大数据-BI-实施项目,,0
腾讯-MASS-实施项目,,0
太平洋保险-数据工厂-实施项目,,0
东北大学-BI-实施项目,,0
苏州工业园-BI-实施项目,,0
郑州银行-BI-实施项目,,0
苏州工业园-CRM-实施项目,,0
深交所-CRM-实施项目,,0
工行北京-数据工厂-实施项目,,0
苏省数据-数据工厂-实施项目,,0
鄂省人民医院-BI-实施项目,处理中,1
渝市大数据-BI-实施项目,,0
内蒙古大数据-CRM-实施项目,,0
云南数字经济-BI-实施项目,,0
浙省人民医院-BI-实施项目,,0
桂林银行-BI-实施项目,,0
武汉商行-BI-实施项目,正常结束,2
桂林银行-CRM-实施项目,,0
山西大数据-CRM-实施项目,,0
无锡大数据-BI-实施项目,,0
吉林银行-BI-实施项目,,0
浙大-BI-实施项目,正常结束,2
内蒙古大数据-BI-实施项目,,0
广州数据-数据工厂-实施项目,,0
福州银行-CRM-实施项目,,0
国泰君安-CRM-实施项目,,0
上交所-CRM-实施项目,,0
徽商银行-CRM-实施项目,,0
苏省数据-CRM-实施项目,处理中,2
深圳数字政府-BI-实施项目,,0
苏省大数据-BI-实施项目,,0
上交所-数据工厂-实施项目,,0
南宁大数据-BI-实施项目,,0
北交所-BI-续签项目,,0
长沙卫健委-BI-实施项目,,0
湖北卫健-BI-实施项目,,0
天津滨海-BI-实施项目,,0
成都大数据-BI-实施项目,,0
网易-数据工厂-实施项目,,0
阿里巴巴-MASS-实施项目,处理中,1
国泰君安-BI-实施项目,,0
北京银行-BI-实施项目,处理中,2
华为-DQC-实施项目,,0
福州银行-BI-实施项目,正常结束,2
华能集团-数据工厂-实施项目,,0
移动广东-MASS-实施项目,正常结束,2
南京银行-BI-实施项目,正常结束,2
福建医大附-BI-实施项目,,0
贵州大数据-CRM-实施项目,,0
厦门国际银行-BI-实施项目,处理中,1
川省人民医院-BI-实施项目,处理中,1
宁夏银行-CRM-实施项目,,0
重庆农商-CRM-实施项目,,0
湖南大数据-CRM-实施项目,,0
工行北京-CRM-实施项目,正常结束,2
中国电信沪分-MASS-实施项目,处理中,2
宁波银行-BI-实施项目,正常结束,2
川省人民医院-CRM-实施项目,,0
吉林银行-CRM-实施项目,,0
兰州银行-BI-实施项目,,0
厦门国际-CRM-实施项目,,0
徽商银行-BI-实施项目,处理中,1
