province,客户数量,商机总金额,项目总金额
北京,10,95700000.00,102050000.00
天津,2,5650000.00,9650000.00
河北,1,,
山西,2,5970000.00,4960000.00
内蒙古,2,7360000.00,5700000.00
辽宁,3,6310000.00,5860000.00
吉林,2,4340000.00,3440000.00
黑龙江,2,4490000.00,3960000.00
上海,8,69820000.00,71230000.00
江苏,5,39700000.00,40040000.00
浙江,5,47480000.00,55390000.00
安徽,3,7170000.00,6920000.00
福建,5,14570000.00,15560000.00
江西,2,2980000.00,2400000.00
山东,4,15890000.00,15630000.00
河南,2,4050000.00,4410000.00
湖北,5,24140000.00,26400000.00
湖南,4,13850000.00,12790000.00
广东,13,162090000.00,175800000.00
广西,3,7110000.00,6250000.00
海南,1,1370000.00,1160000.00
重庆,2,9640000.00,8820000.00
四川,4,14620000.00,14370000.00
贵州,2,5900000.00,4980000.00
云南,3,5560000.00,5000000.00
陕西,2,3370000.00,2760000.00
甘肃,2,2120000.00,1760000.00
宁夏,1,1400000.00,1040000.00
