customer_code,customer_customer_name,customer_industry,customer_province,customer_city,opp_name,opp_status,contract_amount,actual_sign_date
北京国投中债资产管理有限公司,北京国投中债资产管理有限公司,金融,北京,北京,国投中债-BI-项目,签约成功,1100000.00,2025-12-01 00:00:00
北京国投中债资产管理有限公司,北京国投中债资产管理有限公司,金融,北京,北京,国投中债-CRM-项目,方案交流,,
北京国投中债资产管理有限公司,北京国投中债资产管理有限公司,金融,北京,北京,国投中债-数据工厂-项目,线索获取,,
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,北京,北京,工行北京-BI-项目,签约成功,2300000.00,2026-01-01 00:00:00
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,北京,北京,工行北京-数据工厂-项目,商务报价,,
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,金融,北京,北京,工行北京-MASS-项目,签约失败,,
北京市海淀区人民政府,北京市海淀区人民政府,政府,北京,北京,海淀政府-CRM-项目,签约成功,850000.00,2026-02-01 00:00:00
北京市海淀区人民政府,北京市海淀区人民政府,政府,北京,北京,海淀政府-BI-项目,方案交流,,
北京市海淀区人民政府,北京市海淀区人民政府,政府,北京,北京,海淀政府-智能体-项目,线索获取,,
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,上海,上海,招行上海-BI-项目,签约成功,2800000.00,2026-01-01 00:00:00
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,上海,上海,招行上海-数据工厂-项目,商务报价,,
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,金融,上海,上海,招行上海-CRM-项目,签约失败,,
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,上海,上海,浦发银行-BI-项目,签约成功,1400000.00,2026-01-01 00:00:00
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,上海,上海,浦发银行-MASS-项目,方案交流,,
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,金融,上海,上海,浦发银行-智能体-项目,线索获取,,
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,广东,广州,天河卫健-CRM-项目,签约成功,580000.00,2025-12-01 00:00:00
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,广东,广州,天河卫健-BI-项目,商务报价,,
广州市天河区卫生健康局,广州市天河区卫生健康局,政府,广东,广州,天河卫健-数据工厂-项目,线索获取,,
广东省人民医院,广东省人民医院,医疗健康,广东,广州,粤省人民医院-BI-项目,签约成功,1050000.00,2026-02-01 00:00:00
