opp_name,opp_code,customer_customer_name,contract_amount,opp_status,plan_sign_date,actual_sign_date
华为-数据工厂-项目,华为-数据工厂-项目,华为技术有限公司,7500000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
国家电网-数据工厂-项目,国家电网-数据工厂-项目,国家电网有限公司,6800000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
华能集团-数据工厂-项目,华能集团-数据工厂-项目,中国华能集团有限公司,5200000.00,签约成功,2026-02-01 00:00:00,2026-02-01 00:00:00
腾讯-数据工厂-项目,腾讯-数据工厂-项目,深圳市腾讯计算机系统有限公司,4800000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
上交所-数据工厂-项目,上交所-数据工厂-项目,上海证券交易所,4500000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
工行北京-数据工厂-项目,工行北京-数据工厂-项目,中国工商银行股份有限公司北京分行,4500000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
网易-数据工厂-项目,网易-数据工厂-项目,网易（杭州）网络有限公司,3800000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
阿里巴巴-数据工厂-项目,阿里巴巴-数据工厂-项目,阿里巴巴（中国）有限公司,3800000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
太平洋保险-数据工厂-项目,太平洋保险-数据工厂-项目,中国太平洋保险（集团）股份有限公司,3300000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
上交所-BI-项目,上交所-BI-项目,上海证券交易所,2850000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
中国电建-数据工厂-项目,中国电建-数据工厂-项目,中国电力建设股份有限公司,2800000.00,签约成功,2026-03-01 00:00:00,2026-04-01 00:00:00
招行上海-BI-项目,招行上海-BI-项目,招商银行股份有限公司上海分行,2800000.00,签约成功,2025-12-01 00:00:00,2026-01-01 00:00:00
广州数据-数据工厂-项目,广州数据-数据工厂-项目,广州市数据局,2800000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
腾讯-MASS-项目,腾讯-MASS-项目,深圳市腾讯计算机系统有限公司,2600000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
中移动广东-MASS-项目,中移动广东-MASS-项目,中国移动通信集团广东有限公司,2400000.00,签约成功,2026-03-01 00:00:00,2026-04-01 00:00:00
中行广东-BI-项目,中行广东-BI-项目,中国银行股份有限公司广东省分行,2400000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
深交所-BI-项目,深交所-BI-项目,深圳证券交易所,2400000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
工行北京-BI-项目,工行北京-BI-项目,中国工商银行股份有限公司北京分行,2300000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
农行山东-BI-项目,农行山东-BI-项目,中国农业银行山东省分行,2100000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
阿里巴巴-MASS-项目,阿里巴巴-MASS-项目,阿里巴巴（中国）有限公司,2100000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
中国电信上海-MASS-项目,中国电信上海-MASS-项目,中国电信股份有限公司上海分公司,1900000.00,签约成功,2026-03-01 00:00:00,2026-04-01 00:00:00
平安银行-BI-项目,平安银行-BI-项目,深圳市平安银行股份有限公司,1900000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
太平洋保险-BI-项目,太平洋保险-BI-项目,中国太平洋保险（集团）股份有限公司,1900000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
国泰君安-BI-项目,国泰君安-BI-项目,国泰君安证券股份有限公司,1900000.00,签约成功,2026-05-01 00:00:00,2026-05-01 00:00:00
阿里巴巴-CRM-项目,阿里巴巴-CRM-项目,阿里巴巴（中国）有限公司,1900000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
北交所-BI-续签项目,北交所-BI-续签项目,北京证券交易所,1850000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
华为-MASS-项目,华为-MASS-项目,华为技术有限公司,1800000.00,签约成功,2026-03-01 00:00:00,2026-03-01 00:00:00
腾讯-CRM-项目,腾讯-CRM-项目,深圳市腾讯计算机系统有限公司,1720000.00,签约成功,2026-02-01 00:00:00,2026-03-01 00:00:00
建行天津-BI-项目,建行天津-BI-项目,中国建设银行股份有限公司天津分行,1700000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
鄂省人民医院-BI-项目,鄂省人民医院-BI-项目,湖北省人民医院,1680000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
广州农商-BI-项目,广州农商-BI-项目,广州农商银行股份有限公司,1620000.00,签约成功,2026-04-01 00:00:00,2026-05-01 00:00:00
平安银行-MASS-项目,平安银行-MASS-项目,深圳市平安银行股份有限公司,1600000.00,签约成功,2026-02-01 00:00:00,2026-02-01 00:00:00
重庆农商-BI-项目,重庆农商-BI-项目,重庆农村商业银行股份有限公司,1520000.00,签约成功,2026-02-01 00:00:00,2026-03-01 00:00:00
南京银行-BI-项目,南京银行-BI-项目,南京银行股份有限公司,1520000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
北京大数据-BI-项目,北京大数据-BI-项目,北京市大数据中心,1500000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
北京协和-BI-项目,北京协和-BI-项目,首都医科大学附属北京协和医院,1450000.00,签约成功,2026-01-01 00:00:00,2026-01-01 00:00:00
华为-CRM-项目,华为-CRM-项目,华为技术有限公司,1440000.00,签约成功,2026-01-01 00:00:00,2026-02-01 00:00:00
