project_name,total_tasks
工行北京-CRM-实施项目,2
上交大-CRM-实施项目,2
盛京银行-CRM-实施项目,0
越秀教育-CRM-实施项目,0
辽省人民医院-CRM-实施项目,0
郑州银行-BI-实施项目,0
湘雅医院-CRM-实施项目,0
长沙卫健委-BI-实施项目,0
腾讯-CRM-实施项目,0
湖北卫健-BI-实施项目,0
华能集团-数据工厂-实施项目,0
腾讯-MASS-实施项目,0
建行天津-BI-实施项目,2
桂林银行-BI-实施项目,0
哈尔滨银行-BI-实施项目,0
国泰君安-BI-实施项目,0
无锡大数据-BI-实施项目,0
腾讯-数据工厂-实施项目,1
昆明大数据-BI-实施项目,0
阿里巴巴-数据工厂-实施项目,2
宁波银行-BI-实施项目,2
陕西数字政府-CRM-实施项目,0
太平洋保险-CRM-实施项目,0
工行北京-BI-实施项目,2
内蒙古大数据-BI-实施项目,0
招行上海-MASS-实施项目,2
电力建设-BI-实施项目,0
鄂省卫健-CRM-实施项目,0
南昌政务-CRM-实施项目,0
华为-CRM-实施项目,0
山西银行-BI-实施项目,0
贵阳银行-CRM-实施项目,0
川省教育厅-BI-实施项目,0
招商银行沪-MASS-实施项目,0
兰州银行-BI-实施项目,0
广州卫健-MASS-实施项目,0
招行上海-BI-实施项目,1
南京银行-MASS-实施项目,0
阿里巴巴-MASS-实施项目,1
川省人民医院-BI-实施项目,1
北京大数据-BI-实施项目,1
贵州大数据-CRM-实施项目,0
平安银行-MASS-实施项目,0
苏省大数据-BI-实施项目,0
山西大数据-CRM-实施项目,0
农行山东-CRM-实施项目,0
北交所-BI-续签项目,0
吉林银行-CRM-实施项目,0
北京银行-MASS-实施项目,0
合肥大数据-BI-实施项目,0
内蒙古大数据-CRM-实施项目,0
济南大数据-CRM-实施项目,0
苏州工业园-CRM-实施项目,0
工行北京-BI-续签项目,0
天河卫健-CRM-实施项目,1
甘肃数据-CRM-实施项目,0
武汉商行-BI-实施项目,2
中山大学-CRM-实施项目,0
湘雅医院-BI-实施项目,0
南京银行-CRM-实施项目,1
武汉大学-CRM-实施项目,0
武汉商行-CRM-实施项目,0
成都大数据-CRM-实施项目,0
华为-MASS-实施项目,0
徽商银行-CRM-实施项目,0
厦门大学-BI-实施项目,0
山东人民医院-BI-实施项目,0
农行山东-BI-实施项目,1
河南卫健-CRM-实施项目,0
平安银行-BI-实施项目,2
内蒙古银行-CRM-实施项目,0
华为-数据工厂-实施项目,0
福州银行-BI-实施项目,2
无锡大数据-CRM-实施项目,0
网易-数据工厂-实施项目,0
广西人民医院-BI-实施项目,0
华为-DQC-实施项目,0
厦门国际银行-BI-实施项目,1
西安银行-CRM-实施项目,0
江西银行-CRM-实施项目,0
云南人民医院-CRM-实施项目,0
吉林银行-BI-实施项目,0
福建医大附-BI-实施项目,0
浦发银行-数据工厂-实施项目,1
上交所-数据工厂-实施项目,0
福建数字办-CRM-实施项目,0
南京银行-BI-实施项目,2
海南大数据-CRM-实施项目,0
川省人民医院-CRM-实施项目,0
天津滨海-BI-实施项目,0
武汉商行-MASS-实施项目,0
云南数字-CRM-实施项目,0
苏州工业园-BI-实施项目,0
深交所-CRM-实施项目,0
粤省人民医院-BI-实施项目,2
盛京银行-BI-实施项目,0
哈尔滨银行-CRM-实施项目,0
青岛银行-BI-实施项目,0
国泰君安-CRM-实施项目,0
安徽省立-CRM-实施项目,0
