project_project_name,task_status,task_count
广州农商银行-BI-实施项目,正常结束,3
阿里巴巴-MASS-实施项目,处理中,1
成都高新-CRM-实施项目,正常结束,1
北京大数据-BI-实施项目,处理中,1
北京银行-BI-实施项目,处理中,2
福州银行-BI-实施项目,正常结束,3
移动广东-MASS-实施项目,正常结束,2
南京银行-BI-实施项目,正常结束,2
腾讯-数据工厂-实施项目,处理中,1
厦门国际银行-BI-实施项目,处理中,1
川省人民医院-BI-实施项目,处理中,1
网易-数据工厂-实施项目,处理中,1
工行北京-CRM-实施项目,正常结束,2
建行天津-BI-实施项目,处理中,1
中国电信沪分-MASS-实施项目,处理中,2
招行上海-MASS-实施项目,正常结束,2
平安银行-BI-实施项目,正常结束,5
华能集团-数据工厂-实施项目,处理中,1
沪大数据-CRM-实施项目,正常结束,2
浦发银行-数据工厂-实施项目,正常结束,2
重庆农商-BI-实施项目,处理中,1
粤省人民医院-BI-实施项目,正常结束,2
浙省人民医院-BI-实施项目,处理中,1
国投中债-BI-实施项目,正常结束,6
平安银行-CRM-实施项目,处理中,1
平安银行-CRM-实施项目,正常结束,1
海淀政府-CRM-实施项目,正常结束,4
鄂省人民医院-BI-实施项目,处理中,1
中行广东-BI-实施项目,处理中,1
武汉商行-BI-实施项目,正常结束,3
长沙银行-BI-实施项目,处理中,2
南京银行-CRM-实施项目,处理中,1
武汉商行-CRM-实施项目,处理中,1
浙大-BI-实施项目,正常结束,3
成都高新-CRM-实施项目,处理中,1
苏省数据-CRM-实施项目,处理中,2
北京协和-BI-实施项目,处理中,1
农行山东-BI-实施项目,处理中,2
上交大-CRM-实施项目,正常结束,2
福州银行-BI-实施项目,处理中,1
阿里巴巴-数据工厂-实施项目,处理中,2
