project_code,project_name,contract_amount,arrear_amount
国投中债-BI-实施项目,国投中债-BI-实施项目,1100000.00,0.00
工行北京-BI-实施项目,工行北京-BI-实施项目,2300000.00,0.00
工行北京-CRM-实施项目,工行北京-CRM-实施项目,770000.00,150000.00
海淀政府-CRM-实施项目,海淀政府-CRM-实施项目,850000.00,0.00
招行上海-BI-实施项目,招行上海-BI-实施项目,2800000.00,0.00
招行上海-MASS-实施项目,招行上海-MASS-实施项目,580000.00,160000.00
浦发银行-BI-实施项目,浦发银行-BI-实施项目,1400000.00,0.00
浦发银行-数据工厂-实施项目,浦发银行-数据工厂-实施项目,1150000.00,
天河卫健-CRM-实施项目,天河卫健-CRM-实施项目,580000.00,0.00
粤省人民医院-BI-实施项目,粤省人民医院-BI-实施项目,1050000.00,300000.00
平安银行-BI-实施项目,平安银行-BI-实施项目,1900000.00,0.00
平安银行-CRM-实施项目,平安银行-CRM-实施项目,860000.00,
成都高新-CRM-实施项目,成都高新-CRM-实施项目,720000.00,200000.00
川省教育厅-BI-实施项目,川省教育厅-BI-实施项目,780000.00,
武汉商行-BI-实施项目,武汉商行-BI-实施项目,1250000.00,0.00
武汉商行-CRM-实施项目,武汉商行-CRM-实施项目,670000.00,
鄂省卫健-CRM-实施项目,鄂省卫健-CRM-实施项目,680000.00,260000.00
南京银行-BI-实施项目,南京银行-BI-实施项目,1520000.00,0.00
南京银行-MASS-实施项目,南京银行-MASS-实施项目,480000.00,
苏省数据-CRM-实施项目,苏省数据-CRM-实施项目,870000.00,250000.00
苏省数据-数据工厂-实施项目,苏省数据-数据工厂-实施项目,1430000.00,
浙大-BI-实施项目,浙大-BI-实施项目,680000.00,0.00
阿里巴巴-数据工厂-实施项目,阿里巴巴-数据工厂-实施项目,3800000.00,1200000.00
阿里巴巴-CRM-实施项目,阿里巴巴-CRM-实施项目,1900000.00,
宁波银行-BI-实施项目,宁波银行-BI-实施项目,1350000.00,0.00
腾讯-数据工厂-实施项目,腾讯-数据工厂-实施项目,4800000.00,1600000.00
腾讯-CRM-实施项目,腾讯-CRM-实施项目,1720000.00,
越秀教育-CRM-实施项目,越秀教育-CRM-实施项目,480000.00,165000.00
华为-数据工厂-实施项目,华为-数据工厂-实施项目,7500000.00,2200000.00
华为-CRM-实施项目,华为-CRM-实施项目,1440000.00,
建行天津-BI-实施项目,建行天津-BI-实施项目,1700000.00,640000.00
天津滨海-BI-实施项目,天津滨海-BI-实施项目,950000.00,320000.00
农行山东-BI-实施项目,农行山东-BI-实施项目,2100000.00,500000.00
郑州银行-BI-实施项目,郑州银行-BI-实施项目,1150000.00,
重庆农商-BI-实施项目,重庆农商-BI-实施项目,1520000.00,470000.00
贵州大数据-CRM-实施项目,贵州大数据-CRM-实施项目,760000.00,
云南数字-CRM-实施项目,云南数字-CRM-实施项目,680000.00,
厦门国际银行-BI-实施项目,厦门国际银行-BI-实施项目,1150000.00,300000.00
苏州工业园-BI-实施项目,苏州工业园-BI-实施项目,1250000.00,300000.00
无锡大数据-CRM-实施项目,无锡大数据-CRM-实施项目,720000.00,
北京银行-BI-实施项目,北京银行-BI-实施项目,1600000.00,618240.00
广州农商银行-BI-实施项目,广州农商银行-BI-实施项目,1350000.00,102600.00
长沙银行-BI-实施项目,长沙银行-BI-实施项目,1150000.00,444360.00
青岛银行-BI-实施项目,青岛银行-BI-实施项目,1280000.00,
徽商银行-BI-实施项目,徽商银行-BI-实施项目,1420000.00,548688.00
江西银行-CRM-实施项目,江西银行-CRM-实施项目,680000.00,
桂林银行-BI-实施项目,桂林银行-BI-实施项目,920000.00,
兰州银行-BI-实施项目,兰州银行-BI-实施项目,860000.00,
宁夏银行-CRM-实施项目,宁夏银行-CRM-实施项目,520000.00,
内蒙古银行-BI-实施项目,内蒙古银行-BI-实施项目,780000.00,
哈尔滨银行-BI-实施项目,哈尔滨银行-BI-实施项目,1050000.00,
吉林银行-CRM-实施项目,吉林银行-CRM-实施项目,480000.00,
盛京银行-BI-实施项目,盛京银行-BI-实施项目,1180000.00,455952.00
山西银行-BI-实施项目,山西银行-BI-实施项目,840000.00,
福州银行-BI-实施项目,福州银行-BI-实施项目,1320000.00,100320.00
贵阳银行-BI-实施项目,贵阳银行-BI-实施项目,960000.00,
太平洋保险-数据工厂-实施项目,太平洋保险-数据工厂-实施项目,3200000.00,
国泰君安-BI-实施项目,国泰君安-BI-实施项目,1800000.00,695520.00
深交所-BI-实施项目,深交所-BI-实施项目,2100000.00,
上交所-数据工厂-实施项目,上交所-数据工厂-实施项目,4500000.00,
沪大数据-CRM-实施项目,沪大数据-CRM-实施项目,1200000.00,91200.00
北京大数据-BI-实施项目,北京大数据-BI-实施项目,1500000.00,579600.00
海南大数据-CRM-实施项目,海南大数据-CRM-实施项目,580000.00,
陕西数字政府-CRM-实施项目,陕西数字政府-CRM-实施项目,760000.00,
湖南大数据-BI-实施项目,湖南大数据-BI-实施项目,920000.00,
济南大数据-CRM-实施项目,济南大数据-CRM-实施项目,640000.00,
合肥大数据-BI-实施项目,合肥大数据-BI-实施项目,880000.00,
南昌政务-CRM-实施项目,南昌政务-CRM-实施项目,520000.00,
南宁大数据-BI-实施项目,南宁大数据-BI-实施项目,760000.00,
甘肃数据-CRM-实施项目,甘肃数据-CRM-实施项目,450000.00,
内蒙古大数据-BI-实施项目,内蒙古大数据-BI-实施项目,690000.00,
黑龙江政务-CRM-实施项目,黑龙江政务-CRM-实施项目,480000.00,
长春数据-BI-实施项目,长春数据-BI-实施项目,560000.00,
山西大数据-CRM-实施项目,山西大数据-CRM-实施项目,650000.00,
广州数据-数据工厂-实施项目,广州数据-数据工厂-实施项目,2800000.00,
深圳数字政府-BI-实施项目,深圳数字政府-BI-实施项目,1100000.00,
福建数字办-CRM-实施项目,福建数字办-CRM-实施项目,780000.00,301392.00
昆明大数据-BI-实施项目,昆明大数据-BI-实施项目,680000.00,
成都大数据-CRM-实施项目,成都大数据-CRM-实施项目,540000.00,
渝市大数据-BI-实施项目,渝市大数据-BI-实施项目,860000.00,
北京协和-BI-实施项目,北京协和-BI-实施项目,1450000.00,560280.00
川省人民医院-BI-实施项目,川省人民医院-BI-实施项目,1250000.00,
安徽省立-CRM-实施项目,安徽省立-CRM-实施项目,620000.00,
广西人民医院-BI-实施项目,广西人民医院-BI-实施项目,890000.00,
辽省人民医院-CRM-实施项目,辽省人民医院-CRM-实施项目,480000.00,
浙省人民医院-BI-实施项目,浙省人民医院-BI-实施项目,1350000.00,
云南人民医院-CRM-实施项目,云南人民医院-CRM-实施项目,560000.00,
鄂省人民医院-BI-实施项目,鄂省人民医院-BI-实施项目,1680000.00,649152.00
湘雅医院-CRM-实施项目,湘雅医院-CRM-实施项目,890000.00,
上交大-CRM-实施项目,上交大-CRM-实施项目,1100000.00,83600.00
