customer_customer_name,customer_industry,customer_city,customer_province
北京国投中债资产管理有限公司,金融,北京,北京
中国工商银行股份有限公司北京分行,金融,北京,北京
北京市海淀区人民政府,政府,北京,北京
招商银行股份有限公司上海分行,金融,上海,上海
上海浦东发展银行股份有限公司,金融,上海,上海
广州市天河区卫生健康局,政府,广州,广东
广东省人民医院,医疗健康,广州,广东
深圳市平安银行股份有限公司,金融,深圳,广东
成都高新技术产业开发区管委会,政府,成都,四川
四川省教育厅,政府,成都,四川
武汉市商业银行股份有限公司,金融,武汉,湖北
湖北省卫生健康委员会,政府,武汉,湖北
南京银行股份有限公司,金融,南京,江苏
江苏省大数据管理中心,政府,南京,江苏
浙江大学,教育,杭州,浙江
阿里巴巴（中国）有限公司,制造,杭州,浙江
宁波银行股份有限公司,金融,宁波,浙江
深圳市腾讯计算机系统有限公司,制造,深圳,广东
广州市越秀区教育局,政府,广州,广东
华为技术有限公司,制造,深圳,广东
中国建设银行股份有限公司天津分行,金融,天津,天津
天津市滨海新区人民政府,政府,天津,天津
河北省数字办,政府,石家庄,河北
中国农业银行山东省分行,金融,济南,山东
山东省人民医院,医疗健康,济南,山东
郑州银行股份有限公司,金融,郑州,河南
河南省卫生健康委员会,政府,郑州,河南
重庆农村商业银行股份有限公司,金融,重庆,重庆
贵州省大数据发展管理局,政府,贵阳,贵州
云南省数字经济局,政府,昆明,云南
厦门国际银行股份有限公司,金融,厦门,福建
福建省医科大学附属第一医院,医疗健康,福州,福建
苏州工业园区管委会,政府,苏州,江苏
无锡市大数据管理局,政府,无锡,江苏
江苏省人民医院,医疗健康,南京,江苏
上海交通大学,教育,上海,上海
上海市大数据中心,政府,上海,上海
中国电信股份有限公司上海分公司,制造,上海,上海
北京银行股份有限公司,金融,北京,北京
北京市大数据中心,政府,北京,北京
首都医科大学附属北京协和医院,医疗健康,北京,北京
中国电力建设股份有限公司,制造,北京,北京
中国移动通信集团广东有限公司,制造,广州,广东
广州农商银行股份有限公司,金融,广州,广东
海南省大数据管理局,政府,海口,海南
西安银行股份有限公司,金融,西安,陕西
陕西省数字政府管理局,政府,西安,陕西
四川省人民医院,医疗健康,成都,四川
湖南省大数据局,政府,长沙,湖南
长沙银行股份有限公司,金融,长沙,湖南
