project_code,project_name,总签约金额,总欠费金额,项目数
广州农商银行-BI-实施项目,广州农商银行-BI-实施项目,1350000.00,102600.00,1
太平洋保险-数据工厂-实施项目,太平洋保险-数据工厂-实施项目,3200000.00,,1
中行广东-BI-实施项目,中行广东-BI-实施项目,2300000.00,,1
深圳数字政府-BI-实施项目,深圳数字政府-BI-实施项目,1100000.00,,1
内蒙古大数据-CRM-实施项目,内蒙古大数据-CRM-实施项目,480000.00,,1
招行上海-BI-实施项目,招行上海-BI-实施项目,2800000.00,0.00,1
浦发银行-BI-实施项目,浦发银行-BI-实施项目,1400000.00,0.00,1
南京银行-CRM-实施项目,南京银行-CRM-实施项目,780000.00,301392.00,1
青岛银行-BI-实施项目,青岛银行-BI-实施项目,1280000.00,,1
浙大-BI-实施项目,浙大-BI-实施项目,680000.00,0.00,1
工行北京-BI-续签项目,工行北京-BI-续签项目,2200000.00,,1
广东人民医院-CRM-实施项目,广东人民医院-CRM-实施项目,580000.00,,1
山西银行-CRM-实施项目,山西银行-CRM-实施项目,380000.00,,1
鄂省卫健-CRM-实施项目,鄂省卫健-CRM-实施项目,680000.00,260000.00,1
南宁大数据-BI-实施项目,南宁大数据-BI-实施项目,760000.00,,1
长沙银行-CRM-实施项目,长沙银行-CRM-实施项目,420000.00,,1
广西人民医院-BI-实施项目,广西人民医院-BI-实施项目,890000.00,,1
华为-MASS-实施项目,华为-MASS-实施项目,1800000.00,,1
成都大数据-BI-实施项目,成都大数据-BI-实施项目,720000.00,,1
辽省人民医院-CRM-实施项目,辽省人民医院-CRM-实施项目,480000.00,,1
华为-CRM-实施项目,华为-CRM-实施项目,1440000.00,,1
阿里巴巴-MASS-实施项目,阿里巴巴-MASS-实施项目,2100000.00,,1
南京银行-BI-实施项目,南京银行-BI-实施项目,1520000.00,0.00,1
长沙卫健委-BI-实施项目,长沙卫健委-BI-实施项目,690000.00,,1
越秀教育-CRM-实施项目,越秀教育-CRM-实施项目,480000.00,165000.00,1
天津滨海-BI-实施项目,天津滨海-BI-实施项目,950000.00,320000.00,1
北交所-BI-续签项目,北交所-BI-续签项目,1850000.00,,1
粤省人民医院-BI-实施项目,粤省人民医院-BI-实施项目,1050000.00,300000.00,1
武汉大学-CRM-实施项目,武汉大学-CRM-实施项目,690000.00,,1
武汉商行-CRM-实施项目,武汉商行-CRM-实施项目,670000.00,,1
南京银行-MASS-实施项目,南京银行-MASS-实施项目,480000.00,,1
渝市大数据-BI-实施项目,渝市大数据-BI-实施项目,860000.00,,1
川省人民医院-BI-实施项目,川省人民医院-BI-实施项目,1250000.00,,1
腾讯-CRM-实施项目,腾讯-CRM-实施项目,1720000.00,,1
贵州大数据-CRM-实施项目,贵州大数据-CRM-实施项目,760000.00,,1
工行北京-数据工厂-实施项目,工行北京-数据工厂-实施项目,4500000.00,,1
苏省数据-CRM-实施项目,苏省数据-CRM-实施项目,870000.00,250000.00,1
湖南大数据-BI-实施项目,湖南大数据-BI-实施项目,920000.00,,1
华为-DQC-实施项目,华为-DQC-实施项目,1200000.00,,1
华能集团-数据工厂-实施项目,华能集团-数据工厂-实施项目,5200000.00,,1
长春数据-BI-实施项目,长春数据-BI-实施项目,560000.00,,1
川省人民医院-CRM-实施项目,川省人民医院-CRM-实施项目,540000.00,,1
郑州银行-BI-实施项目,郑州银行-BI-实施项目,1150000.00,,1
腾讯-数据工厂-实施项目,腾讯-数据工厂-实施项目,4800000.00,1600000.00,1
成都高新-CRM-实施项目,成都高新-CRM-实施项目,720000.00,200000.00,1
湘雅医院-CRM-实施项目,湘雅医院-CRM-实施项目,890000.00,,1
工行北京-CRM-实施项目,工行北京-CRM-实施项目,770000.00,150000.00,1
网易-数据工厂-实施项目,网易-数据工厂-实施项目,3800000.00,,1
招商银行沪-MASS-实施项目,招商银行沪-MASS-实施项目,1800000.00,,1
山西银行-BI-实施项目,山西银行-BI-实施项目,840000.00,,1
电力建设-BI-实施项目,电力建设-BI-实施项目,1100000.00,,1
陕西数字政府-CRM-实施项目,陕西数字政府-CRM-实施项目,760000.00,,1
阿里巴巴-数据工厂-实施项目,阿里巴巴-数据工厂-实施项目,3800000.00,1200000.00,1
上交所-CRM-实施项目,上交所-CRM-实施项目,980000.00,,1
平安银行-CRM-实施项目,平安银行-CRM-实施项目,860000.00,,1
湖北卫健-BI-实施项目,湖北卫健-BI-实施项目,820000.00,,1
海南大数据-CRM-实施项目,海南大数据-CRM-实施项目,580000.00,,1
内蒙古大数据-BI-实施项目,内蒙古大数据-BI-实施项目,690000.00,,1
国泰君安-BI-实施项目,国泰君安-BI-实施项目,1800000.00,695520.00,1
贵阳银行-CRM-实施项目,贵阳银行-CRM-实施项目,390000.00,,1
长沙银行-BI-实施项目,长沙银行-BI-实施项目,1150000.00,444360.00,1
