customer_name,customer_code,商机数,项目数,商机任务数,项目任务数,研发任务数
中国电力建设股份有限公司,中国电力建设股份有限公司,2,2,1,0,0
济南市大数据局,济南市大数据局,2,2,0,0,0
武汉市商业银行股份有限公司,武汉市商业银行股份有限公司,48,48,32,36,42
河北省数字办,河北省数字办,0,0,0,0,0
湖南省大数据局,湖南省大数据局,4,4,0,0,0
江西银行股份有限公司,江西银行股份有限公司,2,2,0,0,0
昆明市大数据局,昆明市大数据局,2,2,0,0,0
广州市天河区卫生健康局,广州市天河区卫生健康局,8,8,2,4,0
深圳市数字政府研究院,深圳市数字政府研究院,2,2,0,0,0
长沙市卫生健康委员会,长沙市卫生健康委员会,2,2,0,0,0
广东省人民医院,广东省人民医院,35,35,20,28,28
西安银行股份有限公司,西安银行股份有限公司,2,2,0,0,0
网易（杭州）网络有限公司,网易（杭州）网络有限公司,2,2,1,0,2
上海浦东发展银行股份有限公司,上海浦东发展银行股份有限公司,21,21,18,21,14
中国电信股份有限公司上海分公司,中国电信股份有限公司上海分公司,4,4,0,4,4
内蒙古自治区大数据中心,内蒙古自治区大数据中心,4,4,0,0,0
东北大学,东北大学,2,2,0,0,0
中南大学湘雅医院,中南大学湘雅医院,6,6,2,0,0
郑州银行股份有限公司,郑州银行股份有限公司,3,3,0,0,0
首都医科大学附属北京协和医院,首都医科大学附属北京协和医院,2,2,0,2,2
中国银行股份有限公司广东省分行,中国银行股份有限公司广东省分行,3,3,3,0,3
北京国投中债资产管理有限公司,北京国投中债资产管理有限公司,198,198,198,198,198
中国建设银行股份有限公司天津分行,中国建设银行股份有限公司天津分行,10,10,4,10,10
桂林银行股份有限公司,桂林银行股份有限公司,6,6,0,0,0
天津市滨海新区人民政府,天津市滨海新区人民政府,3,3,1,0,0
北京银行股份有限公司,北京银行股份有限公司,10,10,5,8,8
湖北省卫生健康委员会,湖北省卫生健康委员会,10,10,4,0,0
国泰君安证券股份有限公司,国泰君安证券股份有限公司,4,4,0,0,0
宁波银行股份有限公司,宁波银行股份有限公司,8,8,4,8,0
山东省人民医院,山东省人民医院,3,3,0,0,0
招商银行股份有限公司上海分行,招商银行股份有限公司上海分行,30,30,24,25,20
厦门国际银行股份有限公司,厦门国际银行股份有限公司,8,8,4,4,4
安徽省立医院,安徽省立医院,2,2,0,0,0
山西省大数据应用局,山西省大数据应用局,2,2,0,0,0
四川省教育厅,四川省教育厅,3,3,0,0,0
河南省卫生健康委员会,河南省卫生健康委员会,2,2,1,0,0
广州市数据局,广州市数据局,2,2,0,0,0
华为技术有限公司,华为技术有限公司,24,24,4,0,0
合肥市数据资源局,合肥市数据资源局,2,2,1,0,0
华中科技大学,华中科技大学,2,2,0,0,0
吉林银行股份有限公司,吉林银行股份有限公司,4,4,2,0,0
内蒙古银行股份有限公司,内蒙古银行股份有限公司,6,6,2,0,0
中国华能集团有限公司,中国华能集团有限公司,3,3,2,0,3
国家电网有限公司,国家电网有限公司,2,2,0,0,0
贵州省大数据发展管理局,贵州省大数据发展管理局,3,3,1,0,0
中国工商银行股份有限公司北京分行,中国工商银行股份有限公司北京分行,64,64,48,48,32
上海交通大学,上海交通大学,8,8,4,8,8
阿里巴巴（中国）有限公司,阿里巴巴（中国）有限公司,30,30,6,25,25
北京市大数据中心,北京市大数据中心,2,2,0,2,2
