industry,opp_opp_status,project_project_status
金融,签约成功,完成回款
金融,方案交流,完成回款
金融,线索获取,完成回款
金融,签约成功,完成回款
金融,签约成功,完成回款
金融,商务报价,完成回款
金融,签约失败,完成回款
金融,签约成功,完成回款
金融,签约成功,完成回款
金融,签约成功,收入确认
金融,商务报价,收入确认
金融,签约失败,收入确认
金融,签约成功,收入确认
金融,签约成功,收入确认
金融,签约成功,安装部署
金融,商务报价,安装部署
金融,签约失败,安装部署
金融,签约成功,安装部署
金融,签约成功,安装部署
金融,签约成功,项目启动
金融,商务报价,项目启动
金融,签约失败,项目启动
金融,签约成功,项目启动
金融,签约成功,项目启动
政府,签约成功,完成回款
政府,方案交流,完成回款
政府,线索获取,完成回款
政府,签约成功,完成回款
政府,签约成功,安装部署
政府,方案交流,安装部署
政府,线索获取,安装部署
政府,签约成功,安装部署
金融,签约成功,完成回款
金融,商务报价,完成回款
金融,签约失败,完成回款
金融,签约成功,完成回款
金融,签约成功,收入确认
金融,商务报价,收入确认
金融,签约失败,收入确认
金融,签约成功,收入确认
金融,签约成功,项目交付
金融,商务报价,项目交付
金融,签约失败,项目交付
金融,签约成功,项目交付
金融,签约成功,完成回款
金融,方案交流,完成回款
金融,线索获取,完成回款
金融,签约成功,完成回款
金融,签约成功,项目上线
金融,方案交流,项目上线
