project_project_name,project_project_code,task_name,task_status,task_type
国投中债-BI-实施项目,PROJ00000001,工行北京BI故障处理,正常结束,故障处理
国投中债-BI-实施项目,PROJ00000001,工行北京BI故障分析,正常结束,故障分析
国投中债-BI-实施项目,PROJ00000001,工行北京BI特性测试,正常结束,特性测试
国投中债-BI-实施项目,PROJ00000001,工行北京BI功能开发,正常结束,功能开发
国投中债-BI-实施项目,PROJ00000001,工行北京BI产品设计,正常结束,产品设计
国投中债-BI-实施项目,PROJ00000001,工行北京BI需求分析,正常结束,需求分析
工行北京-CRM-实施项目,PROJ00000003,工行北京2-BI开发,正常结束,功能开发
工行北京-CRM-实施项目,PROJ00000003,工行北京2-BI需求,正常结束,需求分析
海淀政府-CRM-实施项目,PROJ00000004,招商银行BI测试,正常结束,特性测试
海淀政府-CRM-实施项目,PROJ00000004,招商银行BI开发,正常结束,功能开发
海淀政府-CRM-实施项目,PROJ00000004,招商银行BI设计,正常结束,产品设计
海淀政府-CRM-实施项目,PROJ00000004,招商银行BI需求,正常结束,需求分析
招行上海-MASS-实施项目,PROJ00000006,浦发BI开发,正常结束,功能开发
招行上海-MASS-实施项目,PROJ00000006,浦发BI需求,正常结束,需求分析
浦发银行-数据工厂-实施项目,PROJ00000008,广州卫健BI开发,正常结束,功能开发
浦发银行-数据工厂-实施项目,PROJ00000008,广州卫健BI需求,正常结束,需求分析
粤省人民医院-BI-实施项目,PROJ00000010,广东人民医院BI开发,正常结束,功能开发
粤省人民医院-BI-实施项目,PROJ00000010,广东人民医院BI需求,正常结束,需求分析
平安银行-BI-实施项目,PROJ00000011,平安银行BI故障分析,正常结束,故障分析
平安银行-BI-实施项目,PROJ00000011,平安银行BI测试,正常结束,特性测试
平安银行-BI-实施项目,PROJ00000011,平安银行BI开发,正常结束,功能开发
平安银行-BI-实施项目,PROJ00000011,平安银行BI设计,正常结束,产品设计
平安银行-BI-实施项目,PROJ00000011,平安银行BI需求,正常结束,需求分析
平安银行-CRM-实施项目,PROJ00000012,平安银行CRM设计,处理中,产品设计
平安银行-CRM-实施项目,PROJ00000012,平安银行CRM需求,正常结束,需求分析
成都高新-CRM-实施项目,PROJ00000013,成都高新CRM开发,处理中,功能开发
成都高新-CRM-实施项目,PROJ00000013,成都高新CRM需求,正常结束,需求分析
武汉商行-BI-实施项目,PROJ00000015,武汉商行BI故障分析,正常结束,故障分析
武汉商行-BI-实施项目,PROJ00000015,武汉商行BI开发,正常结束,功能开发
武汉商行-BI-实施项目,PROJ00000015,武汉商行BI需求,正常结束,需求分析
武汉商行-CRM-实施项目,PROJ00000016,武汉商行CRM需求,处理中,需求分析
南京银行-BI-实施项目,PROJ00000018,南京银行BI开发,正常结束,功能开发
南京银行-BI-实施项目,PROJ00000018,南京银行BI需求,正常结束,需求分析
苏省数据-CRM-实施项目,PROJ00000020,苏省数据CRM开发,处理中,功能开发
苏省数据-CRM-实施项目,PROJ00000020,苏省数据CRM需求,处理中,需求分析
浙大-BI-实施项目,PROJ00000022,浙大BI故障处理,正常结束,故障处理
浙大-BI-实施项目,PROJ00000022,浙大BI故障分析,正常结束,故障分析
浙大-BI-实施项目,PROJ00000022,浙大BI需求,正常结束,需求分析
阿里巴巴-数据工厂-实施项目,PROJ00000023,阿里DF设计,处理中,产品设计
阿里巴巴-数据工厂-实施项目,PROJ00000023,阿里DF需求,处理中,需求分析
腾讯-数据工厂-实施项目,PROJ00000026,腾讯DF需求,处理中,需求分析
建行天津-BI-实施项目,PROJ00000031,建行天津BI需求,处理中,需求分析
农行山东-BI-实施项目,PROJ00000033,农行山东BI开发,处理中,功能开发
农行山东-BI-实施项目,PROJ00000033,农行山东BI需求,处理中,需求分析
重庆农商-BI-实施项目,PROJ00000035,重庆农商BI需求,处理中,需求分析
厦门国际银行-BI-实施项目,PROJ00000038,厦门国际BI需求,处理中,需求分析
北京银行-BI-实施项目,PROJ00000041,北京银行BI开发,处理中,功能开发
北京银行-BI-实施项目,PROJ00000041,北京银行BI需求,处理中,需求分析
广州农商银行-BI-实施项目,PROJ00000042,广州农商BI测试,正常结束,特性测试
广州农商银行-BI-实施项目,PROJ00000042,广州农商BI开发,正常结束,功能开发
广州农商银行-BI-实施项目,PROJ00000042,广州农商BI需求,正常结束,需求分析
长沙银行-BI-实施项目,PROJ00000043,长沙银行BI开发,处理中,功能开发
长沙银行-BI-实施项目,PROJ00000043,长沙银行BI需求,处理中,需求分析
福州银行-BI-实施项目,PROJ00000055,福州银行BI故障分析,处理中,故障分析
福州银行-BI-实施项目,PROJ00000055,福州银行BI测试,正常结束,特性测试
福州银行-BI-实施项目,PROJ00000055,福州银行BI开发,正常结束,功能开发
福州银行-BI-实施项目,PROJ00000055,福州银行BI需求,正常结束,需求分析
沪大数据-CRM-实施项目,PROJ00000061,沪大数据CRM开发,正常结束,功能开发
沪大数据-CRM-实施项目,PROJ00000061,沪大数据CRM需求,正常结束,需求分析
北京大数据-BI-实施项目,PROJ00000062,北京大数据BI需求,处理中,需求分析
北京协和-BI-实施项目,PROJ00000081,北京协和BI需求,处理中,需求分析
川省人民医院-BI-实施项目,PROJ00000082,川省人民医院BI需求,处理中,需求分析
浙省人民医院-BI-实施项目,PROJ00000086,浙省人民医院BI需求,处理中,需求分析
鄂省人民医院-BI-实施项目,PROJ00000088,鄂省人民医院BI需求,处理中,需求分析
上交大-CRM-实施项目,PROJ00000090,上交大CRM开发,正常结束,功能开发
上交大-CRM-实施项目,PROJ00000090,上交大CRM需求,正常结束,需求分析
移动广东-MASS-实施项目,PROJ00000096,移动广东MASS开发,正常结束,功能开发
移动广东-MASS-实施项目,PROJ00000096,移动广东MASS需求,正常结束,需求分析
中国电信沪分-MASS-实施项目,PROJ00000097,中国电信MASS开发,处理中,功能开发
中国电信沪分-MASS-实施项目,PROJ00000097,中国电信MASS需求,处理中,需求分析
网易-数据工厂-实施项目,PROJ00000098,网易DF需求,处理中,需求分析
华能集团-数据工厂-实施项目,PROJ00000099,华能集团DF需求,处理中,需求分析
南京银行-CRM-实施项目,PROJ00000106,南京银行CRM需求,处理中,需求分析
阿里巴巴-MASS-实施项目,PROJ00000107,阿里MASS需求,处理中,需求分析
中行广东-BI-实施项目,PROJ00000119,中行广东BI需求,处理中,需求分析
