opp_task_id,opp_task_initiate_time,opp_task_task_type,project_task_id,project_task_initiate_time,project_task_task_type,rd_task_id,rd_task_initiate_time,rd_task_task_type
1,2025-11-06 00:00:00,线索获取,,,,,,
2,2025-11-23 00:00:00,方案交流,,,,,,
3,2025-12-17 00:00:00,商务报价,,,,,,
4,2025-12-26 00:00:00,商机签约,,,,,,
5,2025-12-09 00:00:00,线索获取,,,,,,
6,2025-12-22 00:00:00,方案交流,,,,,,
7,2025-11-04 00:00:00,线索获取,,,,,,
8,2025-11-20 00:00:00,方案交流,,,,,,
9,2025-12-12 00:00:00,商务报价,,,,,,
10,2026-01-22 00:00:00,商机签约,,,,,,
11,2025-11-07 00:00:00,线索获取,,,,,,
12,2025-11-24 00:00:00,方案交流,,,,,,
13,2025-12-14 00:00:00,商机签约,,,,,,
14,2025-12-05 00:00:00,线索获取,,,,,,
15,2025-12-22 00:00:00,商务报价,,,,,,
16,2025-11-09 00:00:00,线索获取,,,,,,
17,2025-12-06 00:00:00,线索获取,,,,,,
18,2025-12-23 00:00:00,方案交流,,,,,,
19,2025-11-13 00:00:00,线索获取,,,,,,
20,2025-12-02 00:00:00,方案交流,,,,,,
