province,客户数量,商机预测总金额,项目签约总金额
北京,48,95700000.00,102050000.00
贵州,7,5900000.00,4980000.00
湖北,29,24140000.00,26400000.00
重庆,10,9640000.00,8820000.00
云南,8,5560000.00,5000000.00
安徽,8,7170000.00,6920000.00
陕西,4,3370000.00,2760000.00
山东,13,15890000.00,15630000.00
宁夏,2,1400000.00,1040000.00
辽宁,8,6310000.00,5860000.00
河北,1,,
四川,19,14620000.00,14370000.00
湖南,16,13850000.00,12790000.00
江西,4,2980000.00,2400000.00
山西,8,5970000.00,4960000.00
江苏,42,39700000.00,40040000.00
河南,5,4050000.00,4410000.00
上海,40,69820000.00,71230000.00
海南,2,1370000.00,1160000.00
内蒙古,10,7360000.00,5700000.00
天津,7,5650000.00,9650000.00
浙江,25,47480000.00,55390000.00
吉林,6,4340000.00,3440000.00
广东,87,162090000.00,175800000.00
甘肃,3,2120000.00,1760000.00
福建,18,14570000.00,15560000.00
广西,9,7110000.00,6250000.00
黑龙江,6,4490000.00,3960000.00
