project_project_name,task_count
工行北京-CRM-实施项目,2
网易-数据工厂-实施项目,1
上交大-CRM-实施项目,2
厦门国际银行-BI-实施项目,1
华能集团-数据工厂-实施项目,1
浦发银行-数据工厂-实施项目,2
建行天津-BI-实施项目,1
南京银行-BI-实施项目,2
腾讯-数据工厂-实施项目,1
阿里巴巴-数据工厂-实施项目,2
粤省人民医院-BI-实施项目,2
招行上海-MASS-实施项目,2
北京银行-BI-实施项目,2
浙大-BI-实施项目,3
苏省数据-CRM-实施项目,2
海淀政府-CRM-实施项目,4
阿里巴巴-MASS-实施项目,1
广州农商银行-BI-实施项目,3
川省人民医院-BI-实施项目,1
北京大数据-BI-实施项目,1
中国电信沪分-MASS-实施项目,2
中行广东-BI-实施项目,1
浙省人民医院-BI-实施项目,1
长沙银行-BI-实施项目,2
平安银行-CRM-实施项目,2
鄂省人民医院-BI-实施项目,1
重庆农商-BI-实施项目,1
移动广东-MASS-实施项目,2
武汉商行-BI-实施项目,3
北京协和-BI-实施项目,1
国投中债-BI-实施项目,6
沪大数据-CRM-实施项目,2
南京银行-CRM-实施项目,1
武汉商行-CRM-实施项目,1
成都高新-CRM-实施项目,2
农行山东-BI-实施项目,2
平安银行-BI-实施项目,5
福州银行-BI-实施项目,4
