opp_name,opp_code,customer_customer_name,industry,domain,contract_amount,opp_status,forecast_amount,forecast_rate,plan_sign_date,actual_sign_date,sales_user_user_name,org_org_name
华为-数据工厂-项目,华为-数据工厂-项目,华为技术有限公司,制造,制造,7500000.0,签约成功,8000000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华南-金融组
国家电网-数据工厂-项目,国家电网-数据工厂-项目,国家电网有限公司,制造,制造,6800000.0,签约成功,7820000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华北-金融组
华能集团-数据工厂-项目,华能集团-数据工厂-项目,中国华能集团有限公司,制造,制造,5200000.0,签约成功,5980000.0,100.0,2026-02-01 00:00:00,2026-02-01 00:00:00,,华北-金融组
腾讯-数据工厂-项目,腾讯-数据工厂-项目,深圳市腾讯计算机系统有限公司,制造,制造,4800000.0,签约成功,5000000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华南-金融组
上交所-数据工厂-项目,上交所-数据工厂-项目,上海证券交易所,金融,金融,4500000.0,签约成功,5180000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华东-金融组
工行北京-数据工厂-项目,工行北京-数据工厂-项目,中国工商银行股份有限公司北京分行,金融,金融,4500000.0,签约成功,5180000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华北-金融组
阿里巴巴-数据工厂-项目,阿里巴巴-数据工厂-项目,阿里巴巴（中国）有限公司,制造,制造,3800000.0,签约成功,4000000.0,100.0,2026-01-01 00:00:00,2026-02-01 00:00:00,,华东-政府组
网易-数据工厂-项目,网易-数据工厂-项目,网易（杭州）网络有限公司,制造,制造,3800000.0,签约成功,4370000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华东-制造组
太平洋保险-数据工厂-项目,太平洋保险-数据工厂-项目,中国太平洋保险（集团）股份有限公司,金融,金融,3300000.0,签约成功,3500000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华东-金融组
上交所-BI-项目,上交所-BI-项目,上海证券交易所,金融,金融,2850000.0,签约成功,3000000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华东-金融组
招行上海-BI-项目,招行上海-BI-项目,招商银行股份有限公司上海分行,金融,金融,2800000.0,签约成功,3000000.0,100.0,2025-12-01 00:00:00,2026-01-01 00:00:00,,华东-金融组
中国电建-数据工厂-项目,中国电建-数据工厂-项目,中国电力建设股份有限公司,制造,能源,2800000.0,签约成功,3000000.0,100.0,2026-03-01 00:00:00,2026-04-01 00:00:00,,华北-金融组
广州数据-数据工厂-项目,广州数据-数据工厂-项目,广州市数据局,政府,政府,2800000.0,签约成功,3220000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华南-政府组
腾讯-MASS-项目,腾讯-MASS-项目,深圳市腾讯计算机系统有限公司,制造,制造,2600000.0,签约成功,2990000.0,100.0,2026-03-01 00:00:00,2026-03-01 00:00:00,,华南-金融组
中移动广东-MASS-项目,中移动广东-MASS-项目,中国移动通信集团广东有限公司,制造,电信,2400000.0,签约成功,2500000.0,100.0,2026-03-01 00:00:00,2026-04-01 00:00:00,,华南-金融组
中行广东-BI-项目,中行广东-BI-项目,中国银行股份有限公司广东省分行,金融,金融,2400000.0,签约成功,2500000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华南-金融组
深交所-BI-项目,深交所-BI-项目,深圳证券交易所,金融,金融,2400000.0,签约成功,2500000.0,100.0,2026-05-01 00:00:00,2026-05-01 00:00:00,,华南-金融组
工行北京-BI-项目,工行北京-BI-项目,中国工商银行股份有限公司北京分行,金融,金融,2300000.0,签约成功,2500000.0,100.0,2026-01-01 00:00:00,2026-01-01 00:00:00,,华北-金融组
