"chain_id","data_year","chain_name","parent_chain_id","parent_chain_name","chain_level","chain_description","node_cnt","key_node_cnt","enterprise_cnt","scale_enterprise_cnt","high_tech_cnt","leading_enterprise_cnt","grid_cnt","region_cnt","total_annual_revenue","total_tax_declared","avg_risk_score","high_risk_cnt","invoice_issued_amt_year","invoice_received_amt_year","intra_chain_rel_cnt","supplier_rel_out_cnt","buyer_rel_out_cnt","relation_strength_sum","latest_judgment_time","etl_time"
"1001",2025,新一代信息技术产业,,,1,包括5G通信、人工智能、云计算、大数据、物联网、集成电路等。,,,1415,322,481,0,10,0,60035324.44,2156320.70,18.2647,33,3032012942.92,2427308883.75,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1001",2026,新一代信息技术产业,,,1,包括5G通信、人工智能、云计算、大数据、物联网、集成电路等。,,,416,82,137,0,10,1,203058.75,16138.91,16.6976,7,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"10011001",2025,"5G通信","1001",新一代信息技术产业,2,新一代信息技术产业中的5G通信领域。,,,13,1,5,0,3,0,364272.27,32733.91,19.2446,0,32221375.56,30151613.51,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"10011002",2025,人工智能,"1001",新一代信息技术产业,2,新一代信息技术产业中的人工智能领域。,,,4,0,1,0,1,0,97623.76,9574.04,11.6925,0,8136684.85,8147013.93,,,,,,"2026-03-19 21:38:55"
"10011003",2025,云计算,"1001",新一代信息技术产业,2,新一代信息技术产业中的云计算领域。,,,42,11,15,0,5,0,947952.85,88425.65,17.6898,2,113371125.83,97299049.52,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"10011004",2025,大数据,"1001",新一代信息技术产业,2,新一代信息技术产业中的大数据领域。,,,5,1,2,0,3,0,100804.31,11336.25,8.5720,0,7058028.76,16681998.79,,,,,,"2026-03-19 21:38:55"
"10011005",2025,物联网,"1001",新一代信息技术产业,2,新一代信息技术产业中的物联网领域。,,,1,0,0,0,1,0,37896.21,3824.64,12.4300,0,2557075.90,3150893.11,,,,,,"2026-03-19 21:38:55"
"10011006",2025,集成电路,"1001",新一代信息技术产业,2,新一代信息技术产业中的集成电路领域。,,,6,3,2,0,1,0,5788982.20,14960.63,16.3550,0,17461724.86,20996822.37,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1002",2025,新能源汽车产业,,,1,涵盖纯电动车、混合动力车、氢燃料电池车等。,,,567,109,213,0,10,0,13387346.75,358122.84,16.8642,9,516260070.58,415134305.13,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1002",2026,新能源汽车产业,,,1,涵盖纯电动车、混合动力车、氢燃料电池车等。,,,420,83,147,0,10,1,194103.89,15569.61,17.2299,14,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"100201",2025,动力电池,"1002",新能源汽车产业,2,能量存储与管理系统,,,4,0,3,0,2,0,71759.47,9278.71,27.0200,1,9304496.73,11795280.35,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1003",2025,高端装备制造产业,,,1,包括航空航天装备、轨道交通装备、智能制造装备等。,,,761,137,239,0,10,0,13567118.07,680612.57,17.1108,22,899893329.37,717510314.33,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1003",2026,高端装备制造产业,,,1,包括航空航天装备、轨道交通装备、智能制造装备等。,,,470,97,173,0,10,1,7524898.51,17349.07,15.8700,10,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1003.93",2025,,,,,,,,75,0,0,0,10,0,507245.41,36422.25,10.7387,0,180468.94,32764.88,,,,,,"2026-03-19 21:38:55"
"100301",2025,航空航天装备,"1003",高端装备制造产业,2,飞行器及配套系统制造,,,42,10,11,0,5,0,980232.91,93631.29,17.4652,2,108838274.90,95529217.56,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"100302",2025,轨道交通装备,"1003",高端装备制造产业,2,轨道车辆及信号系统,,,2,0,1,0,1,0,63319.93,3524.86,24.1600,0,7872832.17,4211802.14,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"10030302",2025,工业机器人,"100303",智能制造装备,3,柔性制造单元,3,3,6,1,5,0,2,0,154787.80,14031.05,12.2167,0,21637377.06,14915915.74,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1004",2025,生物医药与健康产业,,,1,涉及创新药研发、医疗器械、精准医疗、中医药现代化等。,,,578,130,187,0,10,0,9687005.50,354069.64,16.6780,15,473622912.74,369360220.56,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1004",2026,生物医药与健康产业,,,1,涉及创新药研发、医疗器械、精准医疗、中医药现代化等。,,,448,83,161,0,10,1,206209.58,15338.68,15.6671,10,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1004.72",2025,,,,,,,,48,0,0,0,10,0,20048.23,1504.32,10.7904,0,63100.00,12600.00,,,,,,"2026-03-19 21:38:55"
"1004.91",2025,,,,,,,,58,0,0,0,9,0,8292790.91,3702.14,8.7484,0,74900.00,14900.00,,,,,,"2026-03-19 21:38:55"
"100401",2025,创新药研发,"1004",生物医药与健康产业,2,从靶点发现到商业化生产的全流程,,,165,44,62,0,6,0,19661850.04,366578.03,16.0602,2,511921578.58,410886602.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"100402",2025,高端医疗器械,"1004",生物医药与健康产业,2,诊断治疗设备与植入耗材,,,52,18,19,0,4,0,1334944.53,118740.22,15.4883,0,141295660.57,121376700.37,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1005",2025,新材料产业,,,1,包括高性能纤维、先进半导体材料、新能源材料等。,,,542,105,198,0,10,0,8481856.16,255151.03,18.1679,21,397777384.22,305650998.17,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1005",2026,新材料产业,,,1,包括高性能纤维、先进半导体材料、新能源材料等。,,,440,70,157,0,10,1,216019.60,17308.64,16.4843,18,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1005.54",2025,,,,,,,,53,0,0,0,9,0,2844718.68,11891.61,11.3917,0,77206.66,12443.03,,,,,,"2026-03-19 21:38:55"
"1005.95",2025,,,,,,,,139,0,0,0,9,0,20205174.91,55980.86,9.8780,0,236396.98,46539.52,,,,,,"2026-03-19 21:38:55"
"100502",2025,先进半导体材料,"1005",新材料产业,2,集成电路关键材料,,,21,4,4,0,3,0,386199.99,30761.88,18.5676,2,56007216.02,55186498.06,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1006",2025,节能环保产业,,,1,涉及清洁能源、资源循环利用、污染治理等。,,,465,78,135,0,10,0,659880.14,61317.08,15.9843,9,57743526.30,43288700.65,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1006",2026,节能环保产业,,,1,涉及清洁能源、资源循环利用、污染治理等。,,,432,68,155,0,10,1,3124253.21,15640.56,15.7279,11,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1006.1",2025,,,,,,,,290,0,0,0,10,0,6554038.38,100299.40,10.4820,0,476654.86,90293.65,,,,,,"2026-03-19 21:38:55"
"1007",2025,数字创意产业,,,1,包括数字内容、文化创意、虚拟现实（VR/AR）等。,,,453,72,177,0,10,0,4896519.11,17367.66,16.2863,12,576000.00,108000.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
"1007",2026,数字创意产业,,,1,包括数字内容、文化创意、虚拟现实（VR/AR）等。,,,441,67,158,0,10,1,7287159.67,18244.56,16.6777,9,0.00,0.00,,,,,"2026-03-18 16:46:27","2026-03-19 21:38:55"
