org_id,org_code,org_name,org_type,parent_org_id,org_level,org_index,create_date,update_date,path_code,org_desc
7468,7468,云业务营销部,0,706,2,7468,2025-06-30 09:55:30.657,2026-02-13 09:13:15.444,-1.400.706.7468,
400,400,浩鲸科技(一级经营委员会),0,-1,0,400,2025-06-30 09:55:30.657,2026-01-30 17:49:36.627,-1.400,
6978,6978,营销一部,0,7468,3,6978,2025-06-30 09:55:30.657,,-1.400.706.7468.6978,
6979,6979,营销二部,0,7468,3,6979,2025-06-30 09:55:30.657,,-1.400.706.7468.6979,
6980,6980,营销六部,0,7468,3,6980,2025-06-30 09:55:30.657,,-1.400.706.7468.6980,
6982,6982,营销十部,0,7468,3,6982,2025-06-30 09:55:30.657,,-1.400.706.7468.6982,
6983,6983,营销五部,0,7468,3,6983,2025-06-30 09:55:30.657,,-1.400.706.7468.6983,
6984,6984,营销九部,0,7468,3,6984,2025-06-30 09:55:30.657,,-1.400.706.7468.6984,
6985,6985,营销八部,0,7468,3,6985,2025-06-30 09:55:30.657,,-1.400.706.7468.6985,
6986,6986,营销七部,0,7468,3,6986,2025-06-30 09:55:30.657,,-1.400.706.7468.6986,
6987,6987,营销四部,0,7468,3,6987,2025-06-30 09:55:30.657,,-1.400.706.7468.6987,
6988,6988,营销三部,0,7468,3,6988,2025-06-30 09:55:30.657,,-1.400.706.7468.6988,
7100,7100,营销十四部,0,7468,3,240,2025-06-30 09:55:30.657,2025-08-12 09:19:23.308,-1.400.706.7468.7100,
7474,7474,营销十二部,0,7468,3,238,2025-06-30 09:55:30.657,2025-08-12 09:14:23.318,-1.400.706.7468.7474,
7471,7471,营销十一部,0,7468,3,237,2025-06-30 09:55:30.657,2025-08-12 09:14:23.371,-1.400.706.7468.7471,
7473,7473,营销十三部,0,7468,3,239,2025-06-30 09:55:30.657,2025-08-12 09:19:23.308,-1.400.706.7468.7473,
7472,7472,营销十五部,0,7468,3,241,2025-06-30 09:55:30.657,2026-01-26 17:34:28.107,-1.400.706.7468.7472,
6981,6981,<待撤销>营销管理办公室,0,7468,3,6981,2025-06-30 09:55:30.657,2026-02-12 16:57:53.765,-1.400.706.7468.6981,
7895,7895,营销十六部,1,7468,3,0,2026-01-28 09:38:30.000,2026-02-14 11:33:38.335,-1.400.706.7468.7895,
706,706,云智能业务经营中心,0,400,1,8,2025-06-30 09:55:30.657,2026-01-21 09:16:12.583,-1.400.706,
7843,7843,大客户经营部,1,7468,3,0,2025-08-20 15:09:47.496,2025-08-22 17:50:50.766,-1.400.706.7468.7843,
7894,7894,营销十七部,1,7468,3,0,2026-01-28 09:38:30.006,2026-01-29 11:38:53.057,-1.400.706.7468.7894,
